id,name,email,twitter,group,area,chamber,start_date,end_date
2010-1,AHINGEJEJE Alfred,,,-,CIBITOKE,Assemblée nationale,2010,2015-04-30
2010-2,ARAKAZA Christine,,,CNDD-FDD,MUYINGA,Assemblée nationale,2010,2015-04-30
2010-3,BARAMPAMA Rémy,,,CNDD-FDD,BUJUMBURA-Mairie,Assemblée nationale,2010,2015-04-30
2010-4,BARARUFISE Marceline,,,UPRONA,RUTANA,Assemblée nationale,2010,2015-04-30
2010-5,BAREKEBAVUGE Alexis,,,CNDD-FDD,CIBITOKE,Assemblée nationale,2010,2015-04-30
2010-6,BERAHINO Gloriose,,,CNDD-FDD,KAYANZA,Assemblée nationale,2010,2015-04-30
2010-7,BIGIRIMANA Alphonsine,,,CNDD-FDD,KARUSI,Assemblée nationale,2010,2015-04-30
2010-11,BOSOKOZA Bernard,,,UPRONA,BUJUMBURA-Mairie,Assemblée nationale,2010,2015-04-30
2010-8,BUCUMI Moïse,,,CNDD-FDD,RUYIGI,Assemblée nationale,2010,2015-04-30
2010-9,BUCUMI Pasteur,,,CNDD-FDD,MAKAMBA,Assemblée nationale,2010,2015-04-30
2010-10,BUKUMBANYA Henri,,,CNDD-FDD,RUYIGI,Assemblée nationale,2010,2015-04-30
2010-12,BUTORE Joseph,,,CNDD-FDD,CIBITOKE,Assemblée nationale,2010,2015-04-30
2010-13,BUTOYI Stany,,,CNDD-FDD,KARUSI,Assemblée nationale,2010,2015-04-30
2010-14,GAFURERO Léocadie,,,CNDD-FDD,BUBANZA,Assemblée nationale,2010,2015-04-30
2010-15,GAHIMBARE Joselyne,,,CNDD-FDD,KAYANZA,Assemblée nationale,2010,2015-04-30
2010-16,GAHUNGU Juvénal,,,FRODEBU NYAKURI,BUJUMBURA-Rural,Assemblée nationale,2010,2015-04-30
2010-17,GASUHUKE Jacques,,,UPRONA,CANKUZO,Assemblée nationale,2010,2015-04-30
2010-18,GASUTWA Bonaventure,,,UPRONA,BUJUMBURA,Assemblée nationale,2010,2015-04-30
2010-19,HABONIMANA Odette,,,CNDD-FDD,BUJUMBURA-Rural,Assemblée nationale,2010,2015-04-30
2010-20,HAKIZIMANA Emilien,,,CNDD-FDD,KAYANZA,Assemblée nationale,2010,2015-04-30
2010-21,HATUNGIMANA Léonidas,,,CNDD-FDD,CANKUZO,Assemblée nationale,2010,2015-04-30
2010-22,HAVYARIMANA Juvénal,,,CNDD-FDD,BUBANZA,Assemblée nationale,2010,2015-04-30
2010-23,IHOTORIHIGWA Jean,,,UPRONA,NGOZI,Assemblée nationale,2010,2015-04-30
2010-24,INAMAHORO Espérance,,,CNDD-FDD,BURURI,Assemblée nationale,2010,2015-04-30
2010-25,KABURA François,,,UPRONA,MAKAMBA,Assemblée nationale,2010,2015-04-30
2010-26,KAMARIZA Justine,,,CNDD-FDD,KIRUNDO,Assemblée nationale,2010,2015-04-30
2010-27,KANGOYE Jovithe,,,CNDD-FDD,CIBITOKE,Assemblée nationale,2010,2015-04-30
2010-28,KARENGA Ramadhan,,,CNDD-FDD,BURURI,Assemblée nationale,2010,2015-04-30
2010-29,KARERWA Mo-Mamo,,,CNDD-FDD,GITEGA,Assemblée nationale,2010,2015-04-30
2010-30,KUNTWARI Elias,,,TWA,KARUSI,Assemblée nationale,2010,2015-04-30
2010-31,MANIRAKIZA Abdallah,,,CNDD-FDD,BURURI,Assemblée nationale,2010,2015-04-30
2010-32,MASUDI Selemani,,,CNDD-FDD,KIRUNDO,Assemblée nationale,2010,2015-04-30
2010-33,MIBURO Gaudence,,,CNDD-FDD,RUYIGI,Assemblée nationale,2010,2015-04-30
2010-34,MINANI Jean,,,FRODEBU NYAKURI,KIRUNDO,Assemblée nationale,2010,2015-04-30
2010-35,MINANI Marie Thérèse,,,CNDD-FDD,KIRUNDO,Assemblée nationale,2010,2015-04-30
2010-36,MISAGO Sébastien,,,UPRONA,MUYINGA,Assemblée nationale,2010,2015-04-30
2010-37,MUDUGU Poppon,,,UPRONA,BUJUMBURA-Mairie,Assemblée nationale,2010,2015-04-30
2010-38,NAHAYO Claude,,,CNDD-FDD,NGOZI,Assemblée nationale,2010,2015-04-30
2010-39,NANKWAHOMBA Melchior,,,CNDD-FDD,KIRUNDO,Assemblée nationale,2010,2015-04-30
2010-40,NCAHINYERETSE Ladislas,,,UPRONA,KARUSI,Assemblée nationale,2010,2015-04-30
2010-41,NDAYIZAMBA André,,,UPRONA,BURURI,Assemblée nationale,2010,2015-04-30
2010-42,NDAYIZEYE Gloriose,,,CNDD-FDD,GITEGA,Assemblée nationale,2010,2015-04-30
2010-43,NDAYIZEYE Sylvestre,,,CNDD-FDD,KARUSI,Assemblée nationale,2010,2015-04-30
2010-44,NDAYIZIGA Oscar,,,CNDD-FDD,MURAMVYA,Assemblée nationale,2010,2015-04-30
2010-45,NDIHOKUBWAYO Norbert,,,FRODEBU NYAKURI,GITEGA,Assemblée nationale,2010,2015-04-30
2010-46,NDIKUMANA Constantin,,,CNDD-FDD,GITEGA,Assemblée nationale,2010,2015-04-30
2010-47,NDIKUMANA Evariste,,,-,BUJUMBURA-Mairie,Assemblée nationale,2010,2015-04-30
2010-48,NDIKUMANA Juvénal,,,CNDD-FDD,NGOZI,Assemblée nationale,2010,2015-04-30
2010-49,NDIMURWANKO Anne-Marie,,,CNDD-FDD,MUYINGA,Assemblée nationale,2010,2015-04-30
2010-50,NDITIJE Charles,,,UPRONA,BURURI,Assemblée nationale,2010,2015-04-30
2010-51,NDORICIMPA Gabriel,,,CNDD-FDD,RUYIGI,Assemblée nationale,2010,2015-04-30
2010-52,NDURURUTSE Gaudence,,,CNDD-FDD,MUYINGA,Assemblée nationale,2010,2015-04-30
2010-53,NDUWIMANA Edouard,,,CNDD-FDD,KAYANZA,Assemblée nationale,2010,2015-04-30
2010-54,NDUWIMANA Godeberthe,,,CNDD-FDD,MURAMVYA,Assemblée nationale,2010,2015-04-30
2010-55,NDUWIMANA Sennel,,,CNDD-FDD,KAYANZA,Assemblée nationale,2010,2015-04-30
2010-56,NDUWUBURUNDI Félicien,,,CNDD-FDD,BUJUMBURA-Rural,Assemblée nationale,2010,2015-04-30
2010-57,NGENDAKUMANA Jérémie,,,CNDD-FDD,MURAMVYA,Assemblée nationale,2010,2015-04-30
2010-58,NIBIGIRA Ezéchiel,,,CNDD-FDD,BUJUMBURA-Rural,Assemblée nationale,2010,2015-04-30
2010-59,NIHOREHO Félicité,,,CNDD-FDD,CIBITOKE,Assemblée nationale,2010,2015-04-30
2010-60,NIMUSHIMIRIMANA Vianney,,,UPRONA,KAYANZA,Assemblée nationale,2010,2015-04-30
2010-61,NIRAGIRA Félix,,,CNDD-FDD,NGOZI,Assemblée nationale,2010,2015-04-30
2010-62,NITEREKA Christine,,,CNDD-FDD,GITEGA,Assemblée nationale,2010,2015-04-30
2010-67,NIYONGEKO Ildégonde,,,CNDD-FDD,MWARO,Assemblée nationale,2010,2015-04-30
2010-63,NIYONKURU Spès,,,CNDD-FDD,RUTANA,Assemblée nationale,2010,2015-04-30
2010-64,NIYOYANKANA Bonaventure,,,UPRONA,GITEGA,Assemblée nationale,2010,2015-04-30
2010-65,NIYOYUNGURUZA Méthode,,,UPRONA,MWARO,Assemblée nationale,2010,2015-04-30
2010-66,NIYUHIRE Félicité,,,CNDD-FDD,CANKUZO,Assemblée nationale,2010,2015-04-30
2010-68,NIZIGIYIMANA Pierre,,,CNDD-FDD,KARUSI,Assemblée nationale,2010,2015-04-30
2010-69,NKUNZIMANA Gérard,,,CNDD-FDD,KIRUNDO,Assemblée nationale,2010,2015-04-30
2010-70,NKURUNZIZA Aimé,,,CNDD-FDD,CIBITOKE,Assemblée nationale,2010,2015-04-30
2010-71,NSABIMANA Marie Rose,,,CNDD-FDD,NGOZI,Assemblée nationale,2010,2015-04-30
2010-72,NSAVYIMANA Gisèle,,,CNDD-FDD,KARUSI,Assemblée nationale,2010,2015-04-30
2010-73,NSESEMA Jean Marie Pascal,,,CNDD-FDD,BUBANZA,Assemblée nationale,2010,2015-04-30
2010-74,NSHIMIRIMANA Georges,,,CNDD-FDD,GITEGA,Assemblée nationale,2010,2015-04-30
2010-75,NTAKAMURENGA Joseph,,,CNDD-FDD,RUTANA,Assemblée nationale,2010,2015-04-30
2010-76,NTAKARUTIMANA Joseph,,,CNDD-FDD,NGOZI,Assemblée nationale,2010,2015-04-30
2010-77,NTANGAMAJERI Diomède,,,CNDD-FDD,MWARO,Assemblée nationale,2010,2015-04-30
2010-78,NTANYUNGU Festus,,,CNDD-FDD,BURURI,Assemblée nationale,2010,2015-04-30
2010-79,NTANYUNGU Marie Rose,,,CNDD-FDD,KARUSI,Assemblée nationale,2010,2015-04-30
2010-80,NTASANO Oscar,,,CNDD-FDD,MAKAMBA,Assemblée nationale,2010,2015-04-30
2010-81,NTAVYOHANYUMA Pie,,,CNDD-FDD,KAYANZA,Assemblée nationale,2010,2015-04-30
2010-82,NTAWUNKUNDA Ildephonse,,,CNDD-FDD,MUYINGA,Assemblée nationale,2010,2015-04-30
2010-83,NTIDENDEREZA Joseph,,,FRODEBU NYAKURI,BURURI,Assemblée nationale,2010,2015-04-30
2010-84,NTIMPIRANGEZA Grégoire,,,CNDD-FDD,GITEGA,Assemblée nationale,2010,2015-04-30
2010-85,NTINANIRWA Consolate,,,CNDD-FDD,MAKAMBA,Assemblée nationale,2010,2015-04-30
2010-86,NUNZUBUMWE Gertrude,,,CNDD-FDD,NGOZI,Assemblée nationale,2010,2015-04-30
2010-87,NYABENDA Pascal,,,CNDD-FDD,BUBANZA,Assemblée nationale,2010,2015-04-30
2010-88,NYENIMIGABO Jean Jacques,,,CNDD-FDD,GITEGA,Assemblée nationale,2010,2015-04-30
2010-89,NZEYIMANA Léontine,,,CNDD-FDD,MAKAMBA,Assemblée nationale,2010,2015-04-30
2010-90,NZIGAMASABO Jean Baptiste,,,CNDD-FDD,KIRUNDO,Assemblée nationale,2010,2015-04-30
2010-91,RUCARAGI Amédée,,,CNDD-FDD,GITEGA,Assemblée nationale,2010,2015-04-30
2010-92,RUKARA Mohamed,,,CNDD-FDD,BUJUMBURA-Mairie,Assemblée nationale,2010,2015-04-30
2010-93,RUKUKI Claudine,,,CNDD-FDD,RUTANA,Assemblée nationale,2010,2015-04-30
2010-94,RURAHINDA Bénigne,,,CNDD-FDD,BUJUMBURA-Mairie,Assemblée nationale,2010,2015-04-30
2010-95,RYAHAMA Pasteur,,,UPRONA,KIRUNDO,Assemblée nationale,2010,2015-04-30
2010-96,SAHINGUVU Yves,,,UPRONA,MURAMVYA,Assemblée nationale,2010,2015-04-30
2010-97,SENDAZIRASA Annonciate,,,CNDD-FDD,NGOZI,Assemblée nationale,2010,2015-04-30
2010-98,SIMBAKIRA Etienne,,,UPRONA,CIBITOKE,Assemblée nationale,2010,2015-04-30
2010-99,SINDAYIHEBURA Eric,,,CNDD-FDD,BUJUMBURA-Mairie,Assemblée nationale,2010,2015-04-30
2010-100,SINDOKOTSE Denise,,,CNDD-FDD,BUJUMBURA-Rural,Assemblée nationale,2010,2015-04-30
2010-101,SINOMENYA Salvator,,,FRODEBU NYAKURI,BUJUMB URA-Rural,Assemblée nationale,2010,2015-04-30
2010-102,SINZOTUMA Cyprien,,,CNDD-FDD,MUYINGA,Assemblée nationale,2010,2015-04-30
2010-103,SORONGO Yolande,,,CNDD-FDD,RUYIGI,Assemblée nationale,2010,2015-04-30
2010-104,TURINUMUGABO Ildephonse,,,CNDD-FDD,MUYINGA,Assemblée nationale,2010,2015-04-30
2010-105,UWIMANA Charlotte,,,CNDD-FDD,NGOZI,Assemblée nationale,2010,2015-04-30
2010-106,UWIZEYE Ibrahim,,,CNDD-FDD,MUYINGA,Assemblée nationale,2010,2015-04-30
