id,name,group,area,chamber,start_date,end_date
mp_AgimKrasniqi,Agim Krasniqi,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_AleksandarVirijeviæ,Aleksandar Virijeviæ,Grupi Parlamentar i KP-së,,Kuvendit,2001-11-17,2004-11-23
mp_AliSadriu,Ali Sadriu,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_AlushAGashi,Alush A. Gashi,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_ArsimBajrami,Arsim Bajrami,Grupi Parlamentar i PDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_BajramKosumi,Bajram Kosumi,Grupi Parlamentar i AAK-së,,Kuvendit,2001-11-17,2004-11-23
mp_BajrushXhemaili,Bajrush Xhemaili,Grupi Parlamentar i PDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_BedriSelmani,Bedri Selmani,Grupi Parlamentar i PDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_BehxhetBrajshori,Behxhet Brajshori,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_BeratLuzha,Berat Luzha,Grupi Parlamentar i PDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_BesaGaxherri,Besa Gaxherri,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_BislimHoti,Bislim Hoti,Grupi Parlamentar i AAK-së,,Kuvendit,2001-11-17,2004-11-23
mp_BlerimBaruti,Blerim Baruti,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_BogoljubMiloEviæ,Bogoljub Miloeviæ,Grupi Parlamentar i KP-së,,Kuvendit,2001-11-17,2004-11-23
mp_BujarDugolli,Bujar Dugolli,Grupi Parlamentar i AAK-së,,Kuvendit,2001-11-17,2004-11-23
mp_CvetaVujaèiæ,Cveta Vujaèiæ,Grupi Parlamentar i KP-së,,Kuvendit,2001-11-17,2004-11-23
mp_DejanMitiæ,Dejan Mitiæ,Grupi Parlamentar i KP-së,,Kuvendit,2001-11-17,2004-11-23
mp_DragiAKrstoviæ,Dragia Krstoviæ,Grupi Parlamentar i KP-së,,Kuvendit,2001-11-17,2004-11-23
mp_DritaStatovci,Drita Statovci,Grupi Parlamentar i PDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_DritonLajçi,Driton Lajçi,Grupi Parlamentar i PDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_DEzairMurati,Dezair Murati,Grupi Parlamentar 'Komunitetet tjera',,Kuvendit,2001-11-17,2004-11-23
mp_EdiShukriu,Edi Shukriu,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_EditaTahiri,Edita Tahiri,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_EminKrasniqi,Emin Krasniqi,Grupi Parlamentar i PDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_EsadDauti,Esad Dauti,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_ExhlaleSalihu,Exhlale Salihu,Grupi Parlamentar i PDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_FadilGeci,Fadil Geci,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_FadilKryeziu,Fadil Kryeziu,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_FaikMarolli,Faik Marolli,Grupi Parlamentar 'Komunitetet tjera',,Kuvendit,2001-11-17,2004-11-23
mp_FatmirLimaj,Fatmir Limaj,Grupi Parlamentar i PDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_FatmirRexhepi,Fatmir Rexhepi,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_FatmirSejdiu,Fatmir Sejdiu,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_FetijeKëpuska,Fetije Këpuska,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_FloraBrovina,Flora Brovina,Grupi Parlamentar i PDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_GaniKoci,Gani Koci,Grupi Parlamentar i PDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_GaniPrekopuca,Gani Prekopuca,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_GaniSadik,Gani Sadik,Grupi Parlamentar 'Komunitetet tjera',,Kuvendit,2001-11-17,2004-11-23
mp_GjylshenBerisha,Gjylshen Berisha,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_GojkoSavić,Gojko Savić,Grupi Parlamentar i KP-së,,Kuvendit,2001-11-17,2004-11-23
mp_GoranLazoviæ,Goran Lazoviæ,Grupi Parlamentar i KP-së,,Kuvendit,2001-11-17,2004-11-23
mp_HajredinKuçi,Hajredin Kuçi,Grupi Parlamentar i PDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_HakiShatri,Haki Shatri,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_HalilAhmeti,Halil Ahmeti,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_HasanMeta,Hasan Meta,Pa grup,,Kuvendit,2001-11-17,2004-11-23
mp_HashimThaçi,Hashim Thaçi,Grupi Parlamentar i PDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_HatixheMusliHoxha,Hatixhe Musli Hoxha,Grupi Parlamentar i PDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_HilmoKandiæ,Hilmo Kandiæ,Grupi Parlamentar 'Komunitetet tjera',,Kuvendit,2001-11-17,2004-11-23
mp_HydajetHyseni,Hydajet Hyseni,Grupi Parlamentar i PDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_IbushJonuzi,Ibush Jonuzi,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_IlazPireva,Ilaz Pireva,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_IlmiAhmeti,Ilmi Ahmeti,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_IsmajlKurteshi,Ismajl Kurteshi,Grupi Parlamentar i PDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_IvanaMarkoviæ,Ivana Markoviæ,Grupi Parlamentar i KP-së,,Kuvendit,2001-11-17,2004-11-23
mp_JusufSutaj,Jusuf Sutaj,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_KolëBerisha,Kolë Berisha,Grupi Parlamentar i LDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_LirakÇelaj,Lirak Çelaj,Grupi Parlamentar i PDK-së,,Kuvendit,2001-11-17,2004-11-23
mp_LjiljanaKeniæ,Ljiljana Keniæ,Grupi Parlamentar i KP-së,,Kuvendit,2001-11-17,2004-11-23
mp_LjubomirStanojkoviæ,Ljubomir Stanojkoviæ,Grupi Parlamentar i KP-së,,Kuvendit,2001-11-17,2004-11-23
