id,name,group,area,start_date,end_date
mp_AfrimArzullaxhiu,Afrim Arzullaxhiu,Grupi Parlamentar i PDK-së,,2004-11-23,2007-12-12
mp_AgimKrasniqi,Agim Krasniqi,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_AliSadriu,Ali Sadriu,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_AlushAGashi,Alush A. Gashi,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_BajramKosumi,Bajram Kosumi,Grupi Parlamentar i AAK-së,,2004-11-23,2007-12-12
mp_BajramRexhepi,Bajram Rexhepi,Grupi Parlamentar i PDK-së,,2004-11-23,2007-12-12
mp_BajrushXhemaili,Bajrush Xhemaili,Grupi Parlamentar i PDK-së,,2004-11-23,2007-12-12
mp_BehxhetBrajshori,Behxhet Brajshori,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_BeratLuzha,Berat Luzha,Grupi Parlamentar i PDK-së,,2004-11-23,2007-12-12
mp_BesaGaxherri,Besa Gaxherri,Grupi Parlamentar i LDD-së,,2004-11-23,2007-12-12
mp_BislimHoti,Bislim Hoti,Grupi Parlamentar i AAK-së,,2004-11-23,2007-12-12
mp_BrikendaKryeziu,Brikenda Kryeziu,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_BujarDugolli,Bujar Dugolli,Grupi Parlamentar i AAK-së,,2004-11-23,2007-12-12
mp_DemirLima,Demir Lima,Grupi Parlamentar i PDK-së,,2004-11-23,2007-12-12
mp_DragiAKrstović,Dragia Krstović,Grupi Parlamentar SLKM,,2004-11-23,2007-12-12
mp_DritaStatovci,Drita Statovci,Grupi Parlamentar i PDK-së,,2004-11-23,2007-12-12
mp_DEzairMurati,Dezair Murati,Grupi Parlamentar GP 6+,,2004-11-23,2007-12-12
mp_EminKrasniqi,Emin Krasniqi,Grupi Parlamentar i PDK-së,,2004-11-23,2007-12-12
mp_EmrushXhemajli,Emrush Xhemajli,Pa Grup Parlamentar,,2004-11-23,2007-12-12
mp_EnverHoxhaj,Enver Hoxhaj,Grupi Parlamentar i PDK-së,,2004-11-23,2007-12-12
mp_Et'hemÇeku,Et'hem Çeku,Grupi Parlamentar i AAK-së,,2004-11-23,2007-12-12
mp_FadilGashi,Fadil Gashi,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_FadilGeci,Fadil Geci,Grupi Parlamentar i LDD-së,,2004-11-23,2007-12-12
mp_FadilKryeziu,Fadil Kryeziu,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_FatmirRexhepi,Fatmir Rexhepi,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_FatmireMulhaxhaKollçaku,Fatmire Mulhaxha-Kollçaku,Grupi Parlamentar ORA,,2004-11-23,2007-12-12
mp_FehmiMujota,Fehmi Mujota,Grupi Parlamentar i PDK-së,,2004-11-23,2007-12-12
mp_FehmiVula,Fehmi Vula,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_FeridAgani,Ferid Agani,Grupi Parlamentar Për integrim,,2004-11-23,2007-12-12
mp_FetahBerisha,Fetah Berisha,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_FloraBrovina,Flora Brovina,Grupi Parlamentar i PDK-së,,2004-11-23,2007-12-12
mp_GaniKoci,Gani Koci,Grupi Parlamentar i PDK-së,,2004-11-23,2007-12-12
mp_GazmendMuhaxheri,Gazmend Muhaxheri,Grupi Parlamentar ORA,,2004-11-23,2007-12-12
mp_GencGorani,Genc Gorani,Grupi Parlamentar ORA,,2004-11-23,2007-12-12
mp_GjergjDedaj,Gjergj Dedaj,Grupi Parlamentar Për integrim,,2004-11-23,2007-12-12
mp_GjylnazeSyla,Gjylnaze Syla,Grupi Parlamentar i AAK-së,,2004-11-23,2007-12-12
mp_GjylshenBerisha,Gjylshen Berisha,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_GojkoSavić,Gojko Savić,Grupi Parlamentar SLKM,,2004-11-23,2007-12-12
mp_GoranBogdanović,Goran Bogdanović,Grupi Parlamentar SLKM,,2004-11-23,2007-12-12
mp_HajredinHyseni,Hajredin Hyseni,Grupi Parlamentar i PDK-së,,2004-11-23,2007-12-12
mp_HajredinKuçi,Hajredin Kuçi,Grupi Parlamentar i PDK-së,,2004-11-23,2007-12-12
mp_HashimThaçi,Hashim Thaçi,Grupi Parlamentar i PDK-së,,2004-11-23,2007-12-12
mp_HatixheMusliHoxha,Hatixhe Musli Hoxha,Grupi Parlamentar i PDK-së,,2004-11-23,2007-12-12
mp_HusnijaBeKoviæ,Husnija Bekoviæ,Grupi Parlamentar GP 6+,,2004-11-23,2007-12-12
mp_HydajetHyseni,Hydajet Hyseni,Grupi Parlamentar i PDK-së,,2004-11-23,2007-12-12
mp_IbushJonuzi,Ibush Jonuzi,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_IlazPireva,Ilaz Pireva,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_IlmiAhmeti,Ilmi Ahmeti,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_JakupKrasniqi,Jakup Krasniqi,Grupi Parlamentar i PDK-së,,2004-11-23,2007-12-12
mp_JanuzKastrati,Januz Kastrati,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_JusufSutaj,Jusuf Sutaj,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_KamberKamberi,Kamber Kamberi,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_KolëBerisha,Kolë Berisha,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_LulzimZeneli,Lulzim Zeneli,Grupi Parlamentar i LDD-së,,2004-11-23,2007-12-12
mp_LumnieHyseni,Lumnie Hyseni,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_LutfiZharku,Lutfi Zharku,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_MahirYağcılar,Mahir Yağcılar,Grupi Parlamentar GP 6+,,2004-11-23,2007-12-12
mp_MarkKrasniqi,Mark Krasniqi,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_MazllomKumnova,Mazllom Kumnova,Grupi Parlamentar i AAK-së,,2004-11-23,2007-12-12
mp_MelihateTërmkolli,Melihate Tërmkolli,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_MilazimHaliti,Milazim Haliti,Grupi Parlamentar i LDD-së,,2004-11-23,2007-12-12
mp_MyrveteDreshajBaliu,Myrvete Dreshaj-Baliu,Grupi Parlamentar i AAK-së,,2004-11-23,2007-12-12
mp_NafijeBerisha,Nafije Berisha,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_NaimJerliu,Naim Jerliu,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_NaimMaloku,Naim Maloku,Grupi Parlamentar i AAK-së,,2004-11-23,2007-12-12
mp_NaitHasani,Nait Hasani,Grupi Parlamentar i PDK-së,,2004-11-23,2007-12-12
mp_NaserOsmani,Naser Osmani,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_NaxhijeDoçi,Naxhije Doçi,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_NazimJashari,Nazim Jashari,Grupi Parlamentar ORA,,2004-11-23,2007-12-12
mp_NekibeKelmendi,Nekibe Kelmendi,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_NerxhivaneDauti,Nerxhivane Dauti,Grupi Parlamentar i PDK-së,,2004-11-23,2007-12-12
mp_NexhatDaci,Nexhat Daci,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_NexhatMDaci,Nexhat M. Daci,Grupi Parlamentar i LDD-së,,2004-11-23,2007-12-12
mp_NexhatRexha,Nexhat Rexha,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
mp_NimonAlimusaj,Nimon Alimusaj,Grupi Parlamentar i LDK-së,,2004-11-23,2007-12-12
