id,name,group,area,chamber,start_date,end_date
873,Adriana Muñoz D'Albora,Partido Por la Democracia,9,Legislature,2002-03-11,2006-03-10
818,Alberto Cardemil Herrera,Renovación Nacional,22,Legislature,2002-03-11,2006-03-10
888,Alberto Robles Pantoja,Partido Radical Social Demócrata,6,Legislature,2002-03-11,2006-03-10
897,Alejandra Sepúlveda Orbenes,Partido Demócrata Cristiano,34,Legislature,2002-03-11,2006-03-10
844,Alejandro García-Huidobro Sanfuentes,Unión Demócrata Independiente,32,Legislature,2002-03-11,2006-03-10
195,Alejandro Navarro Brain,Partido Socialista,45,Legislature,2002-03-11,2006-03-10
912,Alfonso Vargas Lyng,Renovación Nacional,10,Legislature,2002-03-11,2006-03-10
830,Andrés Egaña Respaldiza,Unión Demócrata Independiente,44,Legislature,2002-03-11,2006-03-10
859,Antonio Leal Labrín,Partido Por la Democracia,5,Legislature,2002-03-11,2006-03-10
205,Aníbal Pérez Lobos,Partido Por la Democracia,35,Legislature,2002-03-11,2006-03-10
178,Arturo Longton Guerrero,Renovación Nacional,12,Legislature,2002-03-11,2006-03-10
226,Boris Tapia Martínez,Partido Demócrata Cristiano,36,Legislature,2002-03-11,2006-03-10
150,Camilo Escalona Medina,Partido Socialista,46,Legislature,2002-03-11,2006-03-10
855,Carlos Abel Jarpa Wevar,Partido Radical Social Demócrata,41,Legislature,2002-03-11,2006-03-10
164,Carlos Hidalgo González,Independientes,15,Legislature,2002-03-11,2006-03-10
172,Carlos Ignacio Kuschel Silva,Renovación Nacional,57,Legislature,2002-03-11,2006-03-10
870,Carlos Montes Cisternas,Partido Socialista,26,Legislature,2002-03-11,2006-03-10
878,Carlos Olivares Zepeda,Partido Demócrata Cristiano,18,Legislature,2002-03-11,2006-03-10
887,Carlos Recondo Lavanderos,Unión Demócrata Independiente,56,Legislature,2002-03-11,2006-03-10
962,Carlos Vilches Guzmán,Renovación Nacional,5,Legislature,2002-03-11,2006-03-10
166,Carmen Ibáñez Soto,Renovación Nacional,13,Legislature,2002-03-11,2006-03-10
903,Carolina Tohá Morales,Partido Por la Democracia,22,Legislature,2002-03-11,2006-03-10
805,Claudio Alvarado Andrade,Unión Demócrata Independiente,58,Legislature,2002-03-11,2006-03-10
175,Cristián Leay Morán,Unión Demócrata Independiente,19,Legislature,2002-03-11,2006-03-10
202,Cristián Pareto Vergara,Independientes,20,Legislature,2002-03-11,2006-03-10
187,Darío Molina Sanhueza,Unión Demócrata Independiente,9,Legislature,2002-03-11,2006-03-10
884,Darío Paya Mira,Unión Demócrata Independiente,28,Legislature,2002-03-11,2006-03-10
213,Edgardo Riveros Marín,Partido Demócrata Cristiano,30,Legislature,2002-03-11,2006-03-10
220,Edmundo Salas De La Fuente,Partido Demócrata Cristiano,45,Legislature,2002-03-11,2006-03-10
239,Edmundo Villouta Concha,Partido Demócrata Cristiano,48,Legislature,2002-03-11,2006-03-10
826,Eduardo Díaz Del Río,Independientes,51,Legislature,2002-03-11,2006-03-10
173,Eduardo Lagos Herrera,Partido Radical Social Demócrata,57,Legislature,2002-03-11,2006-03-10
894,Eduardo Saffirio Suárez,Partido Demócrata Cristiano,50,Legislature,2002-03-11,2006-03-10
137,Eliana Caraball Martínez,Partido Demócrata Cristiano,27,Legislature,2002-03-11,2006-03-10
800,Enrique Accorsi Opazo,Partido Por la Democracia,24,Legislature,2002-03-11,2006-03-10
854,Enrique Jaramillo Becker,Partido Por la Democracia,54,Legislature,2002-03-11,2006-03-10
910,Esteban Valenzuela Van Treek,Partido Por la Democracia,32,Legislature,2002-03-11,2006-03-10
812,Eugenio Bauer Jouanne,Unión Demócrata Independiente,33,Legislature,2002-03-11,2006-03-10
904,Eugenio Tuma Zedan,Partido Por la Democracia,51,Legislature,2002-03-11,2006-03-10
224,Exequiel Silva Ortiz,Partido Demócrata Cristiano,53,Legislature,2002-03-11,2006-03-10
177,Felipe Letelier Norambuena,Partido Por la Democracia,42,Legislature,2002-03-11,2006-03-10
