id,name,group,area,start_date,end_date
5330365fd0c05d8b737b6b74,Adriana Muñoz D'Albora,Partido por la Democracia,,2014-03-11,2018-03-10
53303660d0c05d8b737b6b78,Alberto Espina Otero,Renovación Nacional,,2014-03-11,2018-03-10
53303662d0c05d8b737b6b7d,Alberto Robles Pantoja,Partido Radical Social Demócrata,,2014-03-11,2018-03-10
53303663d0c05d8b737b6b82,Aldo Cornejo González,Partido Demócrata Cristiano,,2014-03-11,2018-03-10
53303664d0c05d8b737b6b87,Alejandra Sepúlveda Orbenes,Independiente,,2014-03-11,2018-03-10
53303665d0c05d8b737b6b89,Alejandro García-Huidobro Sanfuentes,Unión Demócrata Independiente,,2014-03-11,2018-03-10
53303666d0c05d8b737b6b8e,Alejandro Guillier Álvarez,Independiente,,2014-03-11,2018-03-10
53303667d0c05d8b737b6b92,Alejandro Navarro Brain,Movimiento Amplio Social,,2014-03-11,2018-03-10
53303668d0c05d8b737b6b97,Alejandro Santana Tirachini,Renovación Nacional,,2014-03-11,2018-03-10
53303669d0c05d8b737b6b9c,Alfonso De Urresti Longton,Partido Socialista de Chile,,2014-03-11,2018-03-10
53303669d0c05d8b737b6ba1,Andrea Molina Oliva,Unión Demócrata Independiente,,2014-03-11,2018-03-10
5330366ad0c05d8b737b6ba6,Andrés Allamand Zavala,Renovación Nacional,,2014-03-11,2018-03-10
5330366bd0c05d8b737b6baa,Andrés Zaldívar Larraín,Partido Demócrata Cristiano,,2014-03-11,2018-03-10
5330366cd0c05d8b737b6baf,Antonio Horvath Kiss,Independiente,,2014-03-11,2018-03-10
5330366dd0c05d8b737b6bb4,Arturo Squella Ovalle,Unión Demócrata Independiente,,2014-03-11,2018-03-10
53303670d0c05d8b737b6bb9,Baldo Prokurica Prokurica,Renovación Nacional,,2014-03-11,2018-03-10
53303670d0c05d8b737b6bbe,Bernardo Berger Fett,Renovación Nacional,,2014-03-11,2018-03-10
53303671d0c05d8b737b6bc1,Camila Vallejo Dowling,Partido Comunista de Chile,,2014-03-11,2018-03-10
53303672d0c05d8b737b6bc6,Carlos Abel Jarpa Wevar,Partido Radical Social Demócrata,,2014-03-11,2018-03-10
53303673d0c05d8b737b6bca,Carlos Bianchi Chelech,Independiente,,2014-03-11,2018-03-10
53303674d0c05d8b737b6bcc,Carlos Montes Cisternas,Partido Socialista de Chile,,2014-03-11,2018-03-10
53303675d0c05d8b737b6bd1,Carolina Goic Boroevic,Partido Demócrata Cristiano,,2014-03-11,2018-03-10
53303676d0c05d8b737b6bd6,Celso Morales Muñoz,Unión Demócrata Independiente,,2014-03-11,2018-03-10
53303677d0c05d8b737b6bda,Christian Urízar Muñoz,Partido Socialista de Chile,,2014-03-11,2018-03-10
53303678d0c05d8b737b6bdd,Claudia Nogueira Fernández,Unión Demócrata Independiente,,2014-03-11,2018-03-10
53303679d0c05d8b737b6be2,Claudio Arriagada Macaya,Partido Demócrata Cristiano,,2014-03-11,2018-03-10
5330367ad0c05d8b737b6be7,Clemira Pacheco Rivas,Partido Socialista de Chile,,2014-03-11,2018-03-10
5330367dd0c05d8b737b6bf5,Cristina Girardi Lavín,Partido por la Democracia,,2014-03-11,2018-03-10
5330367bd0c05d8b737b6bec,Cristián Campos Jara,Partido por la Democracia,,2014-03-11,2018-03-10
5330367cd0c05d8b737b6bf0,Cristián Monckeberg Bruner,Renovación Nacional,,2014-03-11,2018-03-10
5330367ed0c05d8b737b6bf9,Daniel Farcas Guendelman,Partido por la Democracia,,2014-03-11,2018-03-10
5330367fd0c05d8b737b6bfd,Daniel Melo Contreras,Partido Socialista de Chile,,2014-03-11,2018-03-10
53303680d0c05d8b737b6c02,Daniel Núñez Arancibia,Partido Comunista de Chile,,2014-03-11,2018-03-10
53303681d0c05d8b737b6c07,Daniella Cicardini Milla,Independiente,,2014-03-11,2018-03-10
53303682d0c05d8b737b6c0b,David Sandoval Plaza,Unión Demócrata Independiente,,2014-03-11,2018-03-10
53303683d0c05d8b737b6c10,Denise Pascal Allende,Partido Socialista de Chile,,2014-03-11,2018-03-10
53303684d0c05d8b737b6c15,Diego Paulsen Kehr,Renovación Nacional,,2014-03-11,2018-03-10
53303685d0c05d8b737b6c19,Ena Von Baer Jahn,Unión Demócrata Independiente,,2014-03-11,2018-03-10
53303686d0c05d8b737b6c1e,Enrique Jaramillo Becker,Partido por la Democracia,,2014-03-11,2018-03-10
53303687d0c05d8b737b6c21,Enrique Van Rysselberghe Herrera,Unión Demócrata Independiente,,2014-03-11,2018-03-10
53303688d0c05d8b737b6c26,Ernesto Silva Méndez,Unión Demócrata Independiente,,2014-03-11,2018-03-10
53303689d0c05d8b737b6c2b,Eugenio Tuma Zedán,Partido por la Democracia,,2014-03-11,2018-03-10
5330368ad0c05d8b737b6c30,Felipe De Mussy Hiriart,Unión Demócrata Independiente,,2014-03-11,2018-03-10
5330368bd0c05d8b737b6c33,Felipe Harboe Bascuñán,Partido por la Democracia,,2014-03-11,2018-03-10
5330368cd0c05d8b737b6c38,Felipe Kast Sommerhoff,Independiente,,2014-03-11,2018-03-10
5330368dd0c05d8b737b6c3c,Felipe Letelier Norambuena,Partido por la Democracia,,2014-03-11,2018-03-10
5330368ed0c05d8b737b6c3f,Felipe Ward Edwards,Unión Demócrata Independiente,,2014-03-11,2018-03-10
5330368fd0c05d8b737b6c43,Fernando Meza Moncada,Partido Radical Social Demócrata,,2014-03-11,2018-03-10
53303690d0c05d8b737b6c47,Fidel Espinoza Sandoval,Partido Socialista de Chile,,2014-03-11,2018-03-10
53303691d0c05d8b737b6c4c,Francisco Chahuán Chahuán,Renovación Nacional,,2014-03-11,2018-03-10
53303692d0c05d8b737b6c51,Fuad Chahín Valenzuela,Partido Demócrata Cristiano,,2014-03-11,2018-03-10
53303693d0c05d8b737b6c55,Fulvio Rossi Ciocca,Partido Socialista de Chile,,2014-03-11,2018-03-10
53303694d0c05d8b737b6c59,Gabriel Boric Font,Independiente,,2014-03-11,2018-03-10
53303695d0c05d8b737b6c5e,Gabriel Silber Romo,Partido Demócrata Cristiano,,2014-03-11,2018-03-10
53303696d0c05d8b737b6c63,Gaspar Rivas Sánchez,Renovación Nacional,,2014-03-11,2018-03-10
53303697d0c05d8b737b6c68,Germán Becker Alvear,Renovación Nacional,,2014-03-11,2018-03-10
53303698d0c05d8b737b6c6d,Germán Verdugo Soto,Renovación Nacional,,2014-03-11,2018-03-10
53303699d0c05d8b737b6c71,Giorgio Jackson Drago,Independiente,,2014-03-11,2018-03-10
5330369ad0c05d8b737b6c76,Gonzalo Fuenzalida Figueroa,Renovación Nacional,,2014-03-11,2018-03-10
5330369bd0c05d8b737b6c79,Guido Girardi Lavín,Partido por la Democracia,,2014-03-11,2018-03-10
5330369cd0c05d8b737b6c7e,Guillermo Ceroni Fuentes,Partido por la Democracia,,2014-03-11,2018-03-10
5330369dd0c05d8b737b6c82,Guillermo Teillier Del Valle,Partido Comunista de Chile,,2014-03-11,2018-03-10
5330369ed0c05d8b737b6c86,Gustavo Hasbún Selume,Unión Demócrata Independiente,,2014-03-11,2018-03-10
5330369fd0c05d8b737b6c8b,Hernán Larraín Fernández,Unión Demócrata Independiente,,2014-03-11,2018-03-10
533036a0d0c05d8b737b6c90,Hugo Gutiérrez Gálvez,Partido Comunista de Chile,,2014-03-11,2018-03-10
533036a1d0c05d8b737b6c93,Ignacio Urrutia Bonilla,Unión Demócrata Independiente,,2014-03-11,2018-03-10
533036a2d0c05d8b737b6c95,Ignacio Walker Prieto,Partido Demócrata Cristiano,,2014-03-11,2018-03-10
53303726d0c05d8b737b6c9a,Isabel Allende Bussi,Partido Socialista de Chile,,2014-03-11,2018-03-10
53303727d0c05d8b737b6c9f,Issa Kort Garriga,Unión Demócrata Independiente,,2014-03-11,2018-03-10
53303728d0c05d8b737b6ca4,Iván Flores García,Partido Demócrata Cristiano,,2014-03-11,2018-03-10
5330372bd0c05d8b737b6ca7,Iván Fuentes Castillo,Independiente,,2014-03-11,2018-03-10
5330372cd0c05d8b737b6cac,Iván Moreira Barros,Unión Demócrata Independiente,,2014-03-11,2018-03-10
5330372dd0c05d8b737b6cb0,Iván Norambuena Farías,Unión Demócrata Independiente,,2014-03-11,2018-03-10
5330372ed0c05d8b737b6cb2,Jacqueline Van Rysselberghe Herrera,Unión Demócrata Independiente,,2014-03-11,2018-03-10
5330372fd0c05d8b737b6cb6,Jaime Bellolio Avaria,Unión Demócrata Independiente,,2014-03-11,2018-03-10
53303730d0c05d8b737b6cbb,Jaime Orpis Bouchon,Unión Demócrata Independiente,,2014-03-11,2018-03-10
53303731d0c05d8b737b6cc0,Jaime Pilowsky Greene,Partido Demócrata Cristiano,,2014-03-11,2018-03-10
53303732d0c05d8b737b6cc5,Jaime Quintana Leal,Partido por la Democracia,,2014-03-11,2018-03-10
53303733d0c05d8b737b6cca,Javier Hernández Hernández,Unión Demócrata Independiente,,2014-03-11,2018-03-10
53303734d0c05d8b737b6ccd,Javier Macaya Danús,Unión Demócrata Independiente,,2014-03-11,2018-03-10
53303735d0c05d8b737b6cd1,Jenny Álvarez Vera,Partido Socialista de Chile,,2014-03-11,2018-03-10
53303736d0c05d8b737b6cd5,Joaquín Godoy Ibáñez,Independiente,,2014-03-11,2018-03-10
53303737d0c05d8b737b6cda,Joaquín Lavín León,Unión Demócrata Independiente,,2014-03-11,2018-03-10
53303737d0c05d8b737b6cde,Joaquín Tuma Zedan,Partido por la Democracia,,2014-03-11,2018-03-10
53303738d0c05d8b737b6ce1,Jorge Insunza Gregorio de las Heras,Partido por la Democracia,,2014-03-11,2018-03-10
5330373ad0c05d8b737b6cea,Jorge Rathgeb Schifferli,Renovación Nacional,,2014-03-11,2018-03-10
5330373bd0c05d8b737b6ced,Jorge Sabag Villalobos,Partido Demócrata Cristiano,,2014-03-11,2018-03-10
5330373cd0c05d8b737b6cf0,Jorge Tarud Daccarett,Partido por la Democracia,,2014-03-11,2018-03-10
5330373dd0c05d8b737b6cf5,Jorge Ulloa Aguillón,Unión Demócrata Independiente,,2014-03-11,2018-03-10
5330373ed0c05d8b737b6cfa,José Antonio Kast Rist,Unión Demócrata Independiente,,2014-03-11,2018-03-10
53303746d0c05d8b737b6cff,José García Ruminot,Renovación Nacional,,2014-03-11,2018-03-10
53303747d0c05d8b737b6d04,José Manuel Edwards Silva,Renovación Nacional,,2014-03-11,2018-03-10
53303748d0c05d8b737b6d07,José Miguel Ortiz Novoa,Partido Demócrata Cristiano,,2014-03-11,2018-03-10
53303749d0c05d8b737b6d0b,José Pérez Arriagada,Partido Radical Social Demócrata,,2014-03-11,2018-03-10
5330374bd0c05d8b737b6d10,Juan Antonio Coloma Correa,Unión Demócrata Independiente,,2014-03-11,2018-03-10
5330374ad0c05d8b737b6d0d,Juan Antonio Coloma Álamos,Unión Demócrata Independiente,,2014-03-11,2018-03-10
5330374ed0c05d8b737b6d18,Juan Luis Castro González,Partido Socialista de Chile,,2014-03-11,2018-03-10
5330374fd0c05d8b737b6d1b,Juan Pablo Letelier Morel,Partido Socialista de Chile,,2014-03-11,2018-03-10
53303750d0c05d8b737b6d20,Karla Rubilar Barahona,Independiente,,2014-03-11,2018-03-10
53303750d0c05d8b737b6d24,Karol Cariola Oliva,Partido Comunista de Chile,,2014-03-11,2018-03-10
53303752d0c05d8b737b6d28,Lautaro Carmona Soto,Partido Comunista de Chile,,2014-03-11,2018-03-10
53303754d0c05d8b737b6d2d,Leonardo Soto Ferrada,Partido Socialista de Chile,,2014-03-11,2018-03-10
53303755d0c05d8b737b6d32,Leopoldo Pérez Lahsen,Renovación Nacional,,2014-03-11,2018-03-10
53303756d0c05d8b737b6d36,Lily Pérez San Martín,Independiente,,2014-03-11,2018-03-10
53303757d0c05d8b737b6d3b,Loreto Carvajal Ambiado,Partido por la Democracia,,2014-03-11,2018-03-10
53303758d0c05d8b737b6d3e,Luis Lemus Aracena,Partido Socialista de Chile,,2014-03-11,2018-03-10
53303759d0c05d8b737b6d43,Luis Rocafull López,Partido Socialista de Chile,,2014-03-11,2018-03-10
53a99d1d9240c027106412db,Manuel Antonio Matta Aragay,Partido Demócrata Cristiano,,2014-03-11,2018-03-10
5330375ad0c05d8b737b6d48,Manuel José Ossandón Irarrázabal,Renovación Nacional,,2014-03-11,2018-03-10
5330375bd0c05d8b737b6d4d,Manuel Monsalve Benavides,Partido Socialista de Chile,,2014-03-11,2018-03-10
5330375cd0c05d8b737b6d50,Marcela Hernando Pérez,Partido Radical Social Demócrata,,2014-03-11,2018-03-10
5330375dd0c05d8b737b6d54,Marcela Sabat Fernández,Renovación Nacional,,2014-03-11,2018-03-10
5330375dd0c05d8b737b6d59,Marcelo Chávez Velásquez,Partido Demócrata Cristiano,,2014-03-11,2018-03-10
5330375ed0c05d8b737b6d5c,Marcelo Schilling Rodríguez,Partido Socialista de Chile,,2014-03-11,2018-03-10
5330375fd0c05d8b737b6d61,Marco Antonio Núñez Lozano,Partido por la Democracia,,2014-03-11,2018-03-10
53303760d0c05d8b737b6d65,Marcos Espinosa Monardes,Partido Radical Social Demócrata,,2014-03-11,2018-03-10
53303762d0c05d8b737b6d6e,Mario Venegas Cárdenas,Partido Demócrata Cristiano,,2014-03-11,2018-03-10
53303763d0c05d8b737b6d73,Marisol Turres Figueroa,Unión Demócrata Independiente,,2014-03-11,2018-03-10
53303761d0c05d8b737b6d6a,María José Hoffmann Opazo,Unión Demócrata Independiente,,2014-03-11,2018-03-10
53303764d0c05d8b737b6d78,Matías Walker Prieto,Partido Demócrata Cristiano,,2014-03-11,2018-03-10
53303765d0c05d8b737b6d7d,Maya Fernández Allende,Partido Socialista de Chile,,2014-03-11,2018-03-10
53303766d0c05d8b737b6d82,Nicolás Monckeberg Díaz,Renovación Nacional,,2014-03-11,2018-03-10
53303767d0c05d8b737b6d87,Osvaldo Andrade Lara,Partido Socialista de Chile,,2014-03-11,2018-03-10
53303768d0c05d8b737b6d8a,Osvaldo Urrutia Soto,Unión Demócrata Independiente,,2014-03-11,2018-03-10
53303769d0c05d8b737b6d8f,Pablo Lorenzini Basso,Partido Demócrata Cristiano,,2014-03-11,2018-03-10
5330376ad0c05d8b737b6d91,Patricio Melero Abaroa,Unión Demócrata Independiente,,2014-03-11,2018-03-10
5330376bd0c05d8b737b6d96,Patricio Vallespín López,Partido Demócrata Cristiano,,2014-03-11,2018-03-10
5330376cd0c05d8b737b6d9b,Patricio Walker Prieto,Partido Demócrata Cristiano,,2014-03-11,2018-03-10
5330376dd0c05d8b737b6d9f,Paulina Núñez Urrutia,Renovación Nacional,,2014-03-11,2018-03-10
5330376ed0c05d8b737b6da4,Pedro Araya Guerrero,Independiente,,2014-03-11,2018-03-10
5330376fd0c05d8b737b6da9,Pedro Browne Urrejola,Independiente,,2014-03-11,2018-03-10
53303770d0c05d8b737b6dae,Pedro Pablo Álvarez-Salamanca Ramírez,Unión Demócrata Independiente,,2014-03-11,2018-03-10
