id,name,email,twitter,group,area,chamber,start_date,end_date
873,Adriana Muñoz D'Albora,amunoz,,Partido Por la Democracia,9,Legislature,1998-03-11,2002-03-10
818,Alberto Cardemil Herrera,acardemil,,Renovación Nacional,22,Legislature,1998-03-11,2002-03-10
30,Alberto Espina Otero,"",,Renovación Nacional,21,Legislature,1998-03-11,2002-03-10
933,Aldo Cornejo González,acornejo,,Partido Demócrata Cristiano,13,Legislature,1998-03-11,2002-03-10
844,Alejandro García-Huidobro Sanfuentes,agarcia,,Unión Demócrata Independiente,32,Legislature,1998-03-11,2002-03-10
195,Alejandro Navarro Brain,anavarro,,Partido Socialista,45,Legislature,1998-03-11,2002-03-10
912,Alfonso Vargas Lyng,avargas,,Renovación Nacional,10,Legislature,1998-03-11,2002-03-10
83,Andrés Palma Irarrázaval,"",,Partido Demócrata Cristiano,25,Legislature,1998-03-11,2002-03-10
103,Antonella Sciaraffia Estrada,"",,Partido Demócrata Cristiano,2,Legislature,1998-03-11,2002-03-10
859,Antonio Leal Labrín,aleal,,Partido Por la Democracia,5,Legislature,1998-03-11,2002-03-10
205,Aníbal Pérez Lobos,anibalpe,,Partido Por la Democracia,32,Legislature,1998-03-11,2002-03-10
178,Arturo Longton Guerrero,al,,Renovación Nacional,12,Legislature,1998-03-11,2002-03-10
93,Baldo Prokuriça Prokuriça,"",,Renovación Nacional,6,Legislature,1998-03-11,2002-03-10
855,Carlos Abel Jarpa Wevar,cjarpa,,Partido Radical Social Demócrata,41,Legislature,1998-03-11,2002-03-10
15,Carlos Caminondo Sáez,"",,Renovación Nacional,54,Legislature,1998-03-11,2002-03-10
172,Carlos Ignacio Kuschel Silva,kuschel,,Renovación Nacional,57,Legislature,1998-03-11,2002-03-10
870,Carlos Montes Cisternas,cmontes,,Partido Socialista,26,Legislature,1998-03-11,2002-03-10
878,Carlos Olivares Zepeda,colivare,,Partido Demócrata Cristiano,18,Legislature,1998-03-11,2002-03-10
887,Carlos Recondo Lavanderos,crecondo,,Unión Demócrata Independiente,56,Legislature,1998-03-11,2002-03-10
962,Carlos Vilches Guzmán,cvilches,,Renovación Nacional,5,Legislature,1998-03-11,2002-03-10
805,Claudio Alvarado Andrade,alvarado,,Unión Demócrata Independiente,58,Legislature,1998-03-11,2002-03-10
175,Cristián Leay Morán,cleay,,Unión Demócrata Independiente,19,Legislature,1998-03-11,2002-03-10
187,Darío Molina Sanhueza,dmolina,,Unión Demócrata Independiente,9,Legislature,1998-03-11,2002-03-10
884,Darío Paya Mira,dpaya,,Unión Demócrata Independiente,28,Legislature,1998-03-11,2002-03-10
213,Edgardo Riveros Marín,eriveros,,Partido Demócrata Cristiano,30,Legislature,1998-03-11,2002-03-10
220,Edmundo Salas De La Fuente,esalas,,Partido Demócrata Cristiano,45,Legislature,1998-03-11,2002-03-10
239,Edmundo Villouta Concha,villouta,,Partido Demócrata Cristiano,48,Legislature,1998-03-11,2002-03-10
826,Eduardo Díaz Del Río,ediaz,,Unión Demócrata Independiente,51,Legislature,1998-03-11,2002-03-10
137,Eliana Caraball Martínez,ecarabal,,Partido Demócrata Cristiano,27,Legislature,1998-03-11,2002-03-10
854,Enrique Jaramillo Becker,ejaramil,,Partido Por la Democracia,54,Legislature,1998-03-11,2002-03-10
50,Enrique Krauss Rusque,"",,Partido Demócrata Cristiano,22,Legislature,1998-03-11,2002-03-10
112,Enrique Van Rysselberghe Varela,"",,Unión Demócrata Independiente,44,Legislature,1998-03-11,2002-03-10
904,Eugenio Tuma Zedan,etuma,,Partido Por la Democracia,51,Legislature,1998-03-11,2002-03-10
224,Exequiel Silva Ortiz,esilva,,Partido Demócrata Cristiano,53,Legislature,1998-03-11,2002-03-10
91,Fanny Pollarolo Villa,"",,Partido Socialista,3,Legislature,1998-03-11,2002-03-10
177,Felipe Letelier Norambuena,felipe.letelier,,Partido Por la Democracia,42,Legislature,1998-03-11,2002-03-10
111,Felipe Valenzuela Herrera,"",,Partido Socialista,4,Legislature,1998-03-11,2002-03-10
11,Francisco Bartolucci Johnston,"",,Unión Demócrata Independiente,13,Legislature,1998-03-11,2002-03-10
832,Francisco Encina Moriamez,fencina,,Partido Socialista,8,Legislature,1998-03-11,2002-03-10
43,Francisco Huenchumilla Jaramillo,"",,Partido Demócrata Cristiano,50,Legislature,1998-03-11,2002-03-10
810,Gabriel Ascencio Mansilla,ascencio,,Partido Demócrata Cristiano,58,Legislature,1998-03-11,2002-03-10
165,Gonzalo Ibáñez Santa María,gibanez,,Unión Demócrata Independiente,14,Legislature,1998-03-11,2002-03-10
158,Guido Girardi Lavín,ggirardi,,Partido Por la Democracia,18,Legislature,1998-03-11,2002-03-10
819,Guillermo Ceroni Fuentes,gceroni,,Partido Por la Democracia,40,Legislature,1998-03-11,2002-03-10
3,Gustavo Alessandri Valdés,"",,Renovación Nacional,20,Legislature,1998-03-11,2002-03-10
62,Gutenberg Martínez Ocamica,"",,Partido Demócrata Cristiano,21,Legislature,1998-03-11,2002-03-10
31,Haroldo Fossa Rojas,"",,Renovación Nacional,46,Legislature,1998-03-11,2002-03-10
39,Homero Gutiérrez Román,"",,Partido Demócrata Cristiano,37,Legislature,1998-03-11,2002-03-10
119,Ignacio Walker Prieto,"",,Partido Demócrata Cristiano,10,Legislature,1998-03-11,2002-03-10
804,Isabel Allende Bussi,iallende,,Partido Socialista,29,Legislature,1998-03-11,2002-03-10
65,Iván Mesías Lehú,"",,Partido Radical Social Demócrata,42,Legislature,1998-03-11,2002-03-10
871,Iván Moreira Barros,imoreira,,Unión Demócrata Independiente,27,Legislature,1998-03-11,2002-03-10
170,Jaime Jiménez Villavicencio,jjimenez,,Partido Demócrata Cristiano,31,Legislature,1998-03-11,2002-03-10
872,Jaime Mulet Martínez,jmulet,,Partido Demócrata Cristiano,6,Legislature,1998-03-11,2002-03-10
74,Jaime Naranjo Ortiz,"",,Partido Socialista,39,Legislature,1998-03-11,2002-03-10
79,Jaime Orpis Bouchon,"",,Unión Demócrata Independiente,25,Legislature,1998-03-11,2002-03-10
98,Jaime Rocha Manrique,"",,Partido Radical Social Demócrata,46,Legislature,1998-03-11,2002-03-10
84,Joaquín Palma Irarrázaval,"",,Partido Demócrata Cristiano,7,Legislature,1998-03-11,2002-03-10
106,Jorge Soria Macchiavello,"",,Partido Por la Democracia,2,Legislature,1998-03-11,2002-03-10
906,Jorge Ulloa Aguillón,julloa,,Unión Demócrata Independiente,43,Legislature,1998-03-11,2002-03-10
155,José Antonio Galilea Vidaurre,jgalilea,,Renovación Nacional,49,Legislature,1998-03-11,2002-03-10
35,José García Ruminot,"",,Renovación Nacional,50,Legislature,1998-03-11,2002-03-10
879,José Miguel Ortiz Novoa,jmortiz,,Partido Demócrata Cristiano,44,Legislature,1998-03-11,2002-03-10
885,José Pérez Arriagada,jperez,,Partido Radical Social Demócrata,47,Legislature,1998-03-11,2002-03-10
19,Juan Antonio Coloma Correa,"",,Unión Demócrata Independiente,31,Legislature,1998-03-11,2002-03-10
817,Juan Bustos Ramírez,jbustos,,Partido Socialista,12,Legislature,1998-03-11,2002-03-10
864,Juan Masferrer Pellizzari,masferre,,Unión Demócrata Independiente,34,Legislature,1998-03-11,2002-03-10
76,Juan Núñez Valenzuela,"",,Partido Demócrata Cristiano,34,Legislature,1998-03-11,2002-03-10
176,Juan Pablo Letelier Morel,jpleteli,,Partido Socialista,33,Legislature,1998-03-11,2002-03-10
828,Julio Dittborn Cordua,jdittbor,,Unión Demócrata Independiente,23,Legislature,1998-03-11,2002-03-10
899,Laura Soto González,lsoto,,Partido Por la Democracia,14,Legislature,1998-03-11,2002-03-10
221,Leopoldo Sánchez Grunert,lsanchez,,Partido Por la Democracia,59,Legislature,1998-03-11,2002-03-10
921,Lily Pérez San Martín,lperez,,Renovación Nacional,26,Legislature,1998-03-11,2002-03-10
67,Luis Monge Sánchez,"",,Independientes,48,Legislature,1998-03-11,2002-03-10
85,Luis Pareto González,"",,Partido Demócrata Cristiano,20,Legislature,1998-03-11,2002-03-10
13,Manuel Bustos Huerta,"",,Partido Demócrata Cristiano,17,Legislature,1998-03-11,2002-03-10
889,Manuel Rojas Molina,mrojas,,Unión Demócrata Independiente,4,Legislature,1998-03-11,2002-03-10
92,Marina Prochelle Aguilar,"",,Independientes,55,Legislature,1998-03-11,2002-03-10
1,Mario Acuña Cisternas,"",,Partido Demócrata Cristiano,52,Legislature,1998-03-11,2002-03-10
814,Mario Bertolino Rendic,mbertoli,,Renovación Nacional,7,Legislature,1998-03-11,2002-03-10
822,María Angélica Cristi Marfil,macristi,,Renovación Nacional,24,Legislature,1998-03-11,2002-03-10
892,María Antonieta Saa Díaz,masaa,,Partido Por la Democracia,17,Legislature,1998-03-11,2002-03-10
161,María Pía Guzmán Mena,cdpia,,Renovación Nacional,23,Legislature,1998-03-11,2002-03-10
121,María Rozas Velásquez,"",,Partido Demócrata Cristiano,17,Legislature,1998-03-11,2002-03-10
81,María Victoria Ovalle Ovalle,"",,Unión de Centro Progresista,35,Legislature,1998-03-11,2002-03-10
834,Maximiano Errázuriz Eguiguren,merrazu,,Renovación Nacional,29,Legislature,1998-03-11,2002-03-10
42,Miguel Hernández Saffirio,"",,Partido Demócrata Cristiano,49,Legislature,1998-03-11,2002-03-10
10,Nelson Avila Contreras,"",,Partido Por la Democracia,11,Legislature,1998-03-11,2002-03-10
881,Osvaldo Palma Flores,opalma,,Renovación Nacional,39,Legislature,1998-03-11,2002-03-10
114,Osvaldo Vega Vera,"",,Renovación Nacional,40,Legislature,1998-03-11,2002-03-10
842,Pablo Galilea Carrillo,pgalilea,,Renovación Nacional,59,Legislature,1998-03-11,2002-03-10
179,Pablo Longueira Montes,plonguei,,Unión Demócrata Independiente,30,Legislature,1998-03-11,2002-03-10
862,Pablo Lorenzini Basso,plorenzi,,Partido Demócrata Cristiano,38,Legislature,1998-03-11,2002-03-10
140,Patricio Cornejo Vidaurrázaga,pcornejo,,Partido Demócrata Cristiano,11,Legislature,1998-03-11,2002-03-10
849,Patricio Hales Dib,phales,,Partido Por la Democracia,19,Legislature,1998-03-11,2002-03-10
865,Patricio Melero Abaroa,pmelero,,Unión Demócrata Independiente,16,Legislature,1998-03-11,2002-03-10
918,Patricio Walker Prieto,pwalker,,Partido Demócrata Cristiano,8,Legislature,1998-03-11,2002-03-10
193,Pedro Muñoz Aburto,pmunoz,,Partido Socialista,60,Legislature,1998-03-11,2002-03-10
806,Pedro Pablo Alvarez-Salamanca Büchi,alvarez,,Renovación Nacional,38,Legislature,1998-03-11,2002-03-10
8,Rafael Arratia Valdebenito,"",,Partido Demócrata Cristiano,35,Legislature,1998-03-11,2002-03-10
843,René Manuel García García,rmgarcia,,Renovación Nacional,52,Legislature,1998-03-11,2002-03-10
