id,name,email,twitter,group,area,chamber,start_date,end_date
13826,Alan McFarland,,,UUP,North Down,Northern Ireland Assembly,1998-06-25,2003-04-28
11402,Alasdair McDonnell,,,Social Democratic and Labour Party,Belfast South,Northern Ireland Assembly,1998-06-25,2003-04-28
13815,Alban Maginness,,,Social Democratic and Labour Party,Belfast North,Northern Ireland Assembly,1998-06-25,2003-04-28
13745,Alex Attwood,,,Social Democratic and Labour Party,Belfast West,Northern Ireland Assembly,1998-06-25,2003-04-28
13816,Alex Maskey,,,Sinn Féin,Belfast West,Northern Ireland Assembly,1998-06-25,2003-04-28
13769,Annie Courtney,,,Social Democratic and Labour Party,Foyle,Northern Ireland Assembly,2000-12-05,2003-04-01
13769,Annie Courtney,,,Independent,Foyle,Northern Ireland Assembly,2003-04-01,2003-04-28
13777,Arthur Doherty,,,Social Democratic and Labour Party,East Londonderry,Northern Ireland Assembly,1998-06-25,2002-09-01
13874,Bairbre de Brún,,,Sinn Féin,Belfast West,Northern Ireland Assembly,1998-06-25,2003-04-28
13825,Barry McElduff,,,Sinn Féin,West Tyrone,Northern Ireland Assembly,1998-06-25,2003-04-28
13744,Billy Armstrong,,,UUP,Mid Ulster,Northern Ireland Assembly,1998-06-25,2003-04-28
13749,Billy Bell,,,UUP,Lagan Valley,Northern Ireland Assembly,1998-06-25,2003-04-28
13804,Billy Hutchinson,,,PUP,Belfast North,Northern Ireland Assembly,1998-06-25,2003-04-28
13779,Boyd Douglas,,,Independent,East Londonderry,Northern Ireland Assembly,1998-06-25,1998-09-21
13779,Boyd Douglas,,,UUAP,East Londonderry,Northern Ireland Assembly,1998-09-21,2003-04-28
13861,Brid Rodgers,,,Social Democratic and Labour Party,Upper Bann,Northern Ireland Assembly,1998-06-25,2003-04-28
13797,Carmel Hanna,,,Social Democratic and Labour Party,Belfast South,Northern Ireland Assembly,1998-06-25,2003-04-28
13873,Cedric Wilson,,,UKUP,Strangford,Northern Ireland Assembly,1998-06-25,1999-01-15
13873,Cedric Wilson,,,NIUP,Strangford,Northern Ireland Assembly,1999-01-15,2003-04-28
11734,Conor Murphy,,,Sinn Féin,Newry and Armagh,Northern Ireland Assembly,1998-06-25,2003-04-28
13811,Danny Kennedy,,,UUP,Newry and Armagh,Northern Ireland Assembly,1998-06-25,2003-04-28
13846,Danny O'Connor,,,Social Democratic and Labour Party,East Antrim,Northern Ireland Assembly,1998-06-25,2003-04-28
13848,Dara O'Hagan,,,Sinn Féin,Upper Bann,Northern Ireland Assembly,1998-06-25,2003-04-28
13784,David Ervine,,,PUP,Belfast East,Northern Ireland Assembly,1998-06-25,2003-04-28
13788,David Ford,,,Alliance,South Antrim,Northern Ireland Assembly,1998-06-25,2003-04-28
13801,David Hilditch,,,DUP,East Antrim,Northern Ireland Assembly,1998-06-25,2003-04-28
13823,David McClarty,,,UUP,East Londonderry,Northern Ireland Assembly,1998-06-25,2003-04-28
13798,Denis Haughey,,,Social Democratic and Labour Party,Mid Ulster,Northern Ireland Assembly,1998-06-25,2003-04-28
13869,Denis Watson,,,Independent,Upper Bann,Northern Ireland Assembly,1998-06-25,1998-09-21
13869,Denis Watson,,,UUAP,Upper Bann,Northern Ireland Assembly,1998-09-21,2003-04-28
13803,Derek Hussey,,,UUP,West Tyrone,Northern Ireland Assembly,1998-06-25,2003-04-28
13844,Dermot Nesbitt,,,UUP,South Down,Northern Ireland Assembly,1998-06-25,2003-04-28
13824,Donovan McClelland,,,Social Democratic and Labour Party,South Antrim,Northern Ireland Assembly,1998-06-25,2003-04-28
13865,Duncan Dalton,,,UUP,South Antrim,Northern Ireland Assembly,1998-06-25,2003-04-28
13851,Eamonn ONeill,,,Social Democratic and Labour Party,South Down,Northern Ireland Assembly,1998-06-25,2003-04-28
10385,Eddie McGrady,,,Social Democratic and Labour Party,South Down,Northern Ireland Assembly,1998-06-25,2003-04-28
13853,Edwin Poots,,,DUP,Lagan Valley,Northern Ireland Assembly,1998-06-25,2003-04-28
13748,Eileen Bell,,,Alliance,North Down,Northern Ireland Assembly,1998-06-25,2003-04-28
13752,Esmond Birnie,,,UUP,Belfast South,Northern Ireland Assembly,1998-06-25,2003-04-28
13832,Eugene McMenamin,,,Social Democratic and Labour Party,West Tyrone,Northern Ireland Assembly,1998-06-25,2003-04-28
13836,Francie Molloy,,,Sinn Féin,Mid Ulster,Northern Ireland Assembly,1998-06-25,2003-04-28
13742,Fraser Agnew,,,Independent,Belfast North,Northern Ireland Assembly,1998-06-25,1998-09-21
13742,Fraser Agnew,,,UUAP,Belfast North,Northern Ireland Assembly,1998-09-21,2003-04-28
13766,Fred Cobain,,,UUP,Belfast North,Northern Ireland Assembly,1998-06-25,2003-04-28
13807,Gardiner Kane,,,DUP,North Antrim,Northern Ireland Assembly,1998-06-25,2002-11-11
13807,Gardiner Kane,,,Independent,North Antrim,Northern Ireland Assembly,2002-11-11,2003-04-28
13863,George Savage,,,UUP,Upper Bann,Northern Ireland Assembly,1998-06-25,2003-04-28
10002,Gerry Adams,,,Sinn Féin,Belfast West,Northern Ireland Assembly,1998-06-25,2003-04-28
13809,Gerry Kelly,,,Sinn Féin,Belfast North,Northern Ireland Assembly,1998-06-25,2003-04-28
13830,Gerry McHugh,,,Sinn Féin,Fermanagh and South Tyrone,Northern Ireland Assembly,1998-06-25,2003-04-28
10780,Gregory Campbell,,,DUP,East Londonderry,Northern Ireland Assembly,1998-06-25,2003-04-28
13741,Ian Adamson,,,UUP,Belfast East,Northern Ireland Assembly,1998-06-25,2003-04-28
13852,Ian Paisley Jnr,,,DUP,North Antrim,Northern Ireland Assembly,1998-06-25,2003-04-28
11194,Iris Robinson,,,DUP,Strangford,Northern Ireland Assembly,1998-06-25,2003-04-28
13773,Ivan Davis,,,UUP,Lagan Valley,Northern Ireland Assembly,1998-06-25,2003-04-28
13812,James Leslie,,,UUP,North Antrim,Northern Ireland Assembly,1998-06-25,2003-04-28
13838,Jane Morrice,,,NIWC,North Down,Northern Ireland Assembly,1998-06-25,2003-04-28
13864,Jim Shannon,,,DUP,Strangford,Northern Ireland Assembly,1998-06-25,2003-04-28
13871,Jim Wells,,,DUP,South Down,Northern Ireland Assembly,1998-06-25,2003-04-28
13872,Jim Wilson,,,UUP,South Antrim,Northern Ireland Assembly,1998-06-25,2003-04-28
