id,name,group,area,chamber,start_date,end_date
103,Ahde Matti,Social Democrats,Oulun,Eduskunta,2007-03-21,2011-04-19
804,Ahonen Esko,Finnish Centre Party,Vaasan,Eduskunta,2007-03-21,2011-04-19
558,Akaan-Penttilä Eero,National Coalition Party,Uudenmaan,Eduskunta,2007-03-21,2011-04-19
914,Alanko-Kahiluoto Outi,Green Party,Helsingin,Eduskunta,2007-03-21,2011-04-19
786,Alatalo Mikko,Finnish Centre Party,Pirkanmaan,Eduskunta,2007-03-21,2011-04-19
121,Andersson Claes,Left Alliance,Uudenmaan,Eduskunta,2007-03-21,2008-09-09
446,Andersson Janina,Green Party,Varsinais-Suomen,Eduskunta,2007-03-21,2011-04-19
127,Anttila Sirkka-Liisa,Finnish Centre Party,Hämeen,Eduskunta,2007-03-21,2011-04-19
917,Arhinmäki Paavo,Left Alliance,Helsingin,Eduskunta,2007-03-21,2011-04-19
970,Asell Marko,Social Democrats,Pirkanmaan,Eduskunta,2007-03-21,2011-04-19
764,Asko-Seljavaara Sirpa,National Coalition Party,Helsingin,Eduskunta,2007-03-21,2011-04-19
966,Autio Risto,Finnish Centre Party,Hämeen,Eduskunta,2007-03-21,2011-04-19
923,Blomqvist Thomas,Swedish Parliamentary Group,Uudenmaan,Eduskunta,2007-03-21,2011-04-19
448,Brax Tuija,Green Party,Uudenmaan,Eduskunta,2007-03-21,2011-04-19
931,Feldt-Ranta Maarit,Social Democrats,Uudenmaan,Eduskunta,2007-03-21,2011-04-19
451,Filatov Tarja,Social Democrats,Hämeen,Eduskunta,2007-03-21,2011-04-19
560,Forsius Merikukka,Green Party,Uudenmaan,Eduskunta,2007-03-21,2008-02-14
560,Forsius Merikukka,National Coalition Party,Uudenmaan,Eduskunta,2008-02-15,2011-04-19
623,Gestrin Christina,Swedish Parliamentary Group,Uudenmaan,Eduskunta,2007-03-21,2011-04-19
116,Gustafsson Jukka,Social Democrats,Pirkanmaan,Eduskunta,2007-03-21,2011-04-19
926,Guzenina Maria,Social Democrats,Uudenmaan,Eduskunta,2007-03-21,2011-04-19
806,Haapoja Susanna,Finnish Centre Party,Vaasan,Eduskunta,2007-03-21,2009-05-30
538,Haatainen Tuula,Social Democrats,Helsingin,Eduskunta,2007-03-21,2007-09-11
118,Haavisto Pekka,Green Party,Helsingin,Eduskunta,2007-03-21,2011-04-19
916,Hakola Juha,National Coalition Party,Helsingin,Eduskunta,2007-03-21,2011-04-19
562,Harkimo Leena,National Coalition Party,Uudenmaan,Eduskunta,2007-03-21,2011-04-19
352,Hautala Heidi,Green Party,Uudenmaan,Eduskunta,2007-03-21,2009-07-13
805,Hautala Lasse,Finnish Centre Party,Vaasan,Eduskunta,2009-06-09,2011-04-19
938,Heikkinen Hannakaisa,Finnish Centre Party,Pohjois-Savon,Eduskunta,2007-03-21,2011-04-19
967,Heinonen Timo,National Coalition Party,Hämeen,Eduskunta,2007-03-21,2011-04-19
768,Heinäluoma Eero,Social Democrats,Helsingin,Eduskunta,2007-03-21,2011-04-19
563,Hemmilä Pertti,National Coalition Party,Varsinais-Suomen,Eduskunta,2007-03-21,2011-04-19
777,Hemming Hanna-Leena,National Coalition Party,Uudenmaan,Eduskunta,2007-03-21,2011-04-19
941,Henriksson Anna-Maja,Swedish Parliamentary Group,Vaasan,Eduskunta,2007-03-21,2011-04-19
564,Hiltunen Rakel,Social Democrats,Helsingin,Eduskunta,2007-03-21,2011-04-19
630,Holmlund Anne,National Coalition Party,Satakunnan,Eduskunta,2007-03-21,2011-04-19
797,Hoskonen Hannu,Finnish Centre Party,Pohjois-Karjalan,Eduskunta,2007-03-21,2011-04-19
565,Huovinen Susanna,Social Democrats,Keski-Suomen,Eduskunta,2007-03-21,2011-04-19
136,Hurskainen Sinikka,Social Democrats,Kymen,Eduskunta,2007-03-21,2011-04-19
455,Hyssälä Liisa,Finnish Centre Party,Varsinais-Suomen,Eduskunta,2007-03-21,2010-07-31
566,Häkämies Jyri,National Coalition Party,Kymen,Eduskunta,2007-03-21,2011-04-19
799,Hänninen Tuomo,Finnish Centre Party,Oulun,Eduskunta,2007-03-21,2011-04-19
147,Jaakonsaari Liisa,Social Democrats,Oulun,Eduskunta,2007-03-21,2009-07-13
972,Jaskari Harri,National Coalition Party,Pirkanmaan,Eduskunta,2007-03-21,2011-04-19
1056,Jokinen Kalle,National Coalition Party,Hämeen,Eduskunta,2009-09-09,2011-04-19
1053,Juurikkala Timo,Green Party,Uudenmaan,Eduskunta,2009-07-20,2011-04-19
930,Järvinen Heli,Green Party,Etelä-Savon,Eduskunta,2007-03-21,2011-04-19
1052,Jääskeläinen Pietari,The Finns Party,Uudenmaan,Eduskunta,2009-07-20,2011-04-19
772,Kaikkonen Antti,Finnish Centre Party,Uudenmaan,Eduskunta,2007-03-21,2011-04-19
402,Kalli Timo,Finnish Centre Party,Satakunnan,Eduskunta,2007-03-21,2011-04-19
459,Kallio Reijo,Social Democrats,Satakunnan,Eduskunta,2007-03-21,2011-04-19
166,Kalliomäki Antti,Social Democrats,Uudenmaan,Eduskunta,2007-03-21,2011-04-19
417,Kallis Bjarne,Christian Democrats,Vaasan,Eduskunta,2007-03-21,2011-04-19
953,Kalmari Anne,Finnish Centre Party,Keski-Suomen,Eduskunta,2007-03-21,2011-04-19
