id,name,group,area,chamber,start_date,end_date
104,Aho Esko,Finnish Centre Party,Helsingin,Eduskunta,1995-03-24,1999-03-23
107,Aittoniemi Sulo,Finnish Centre Party,Pirkanmaan,Eduskunta,1995-03-24,1999-03-23
392,Ala-Nissilä Olavi,Finnish Centre Party,Varsinais-Suomen,Eduskunta,1995-03-24,1999-03-23
111,Alho Arja,Social Democrats,Uudenmaan,Eduskunta,1995-03-24,1999-03-23
121,Andersson Claes,Left Alliance,Uudenmaan,Eduskunta,1995-03-24,1999-03-23
446,Andersson Janina,Green Party,Varsinais-Suomen,Eduskunta,1995-03-24,1999-03-23
127,Anttila Sirkka-Liisa,Finnish Centre Party,Hämeen,Eduskunta,1995-03-24,1996-11-18
404,Anttila Ulla,Green Party,Uudenmaan,Eduskunta,1995-03-24,1999-03-23
129,Antvuori Pirjo-Riitta,National Coalition Party,Helsingin,Eduskunta,1996-10-02,1999-03-23
380,Aula Maria Kaisa,Finnish Centre Party,Lapin,Eduskunta,1995-03-24,1999-03-23
133,Backman Jouni,Social Democrats,Etelä-Savon,Eduskunta,1995-03-24,1999-03-23
351,Biaudet Eva,Swedish Parliamentary Group,Helsingin,Eduskunta,1995-03-24,1999-03-23
448,Brax Tuija,Green Party,Uudenmaan,Eduskunta,1995-03-24,1999-03-23
449,Bremer Klaus,Swedish Parliamentary Group,Helsingin,Eduskunta,1995-03-24,1999-03-23
450,Bryggare Arto,Social Democrats,Helsingin,Eduskunta,1995-03-24,1999-03-23
110,Dromberg Kaarina,National Coalition Party,Uudenmaan,Eduskunta,1995-03-24,1999-03-23
112,Elo Mikko,Social Democrats,Satakunnan,Eduskunta,1995-03-24,1999-03-23
393,Enestam Jan-Erik,Swedish Parliamentary Group,Varsinais-Suomen,Eduskunta,1995-03-24,1999-03-23
451,Filatov Tarja,Social Democrats,Hämeen,Eduskunta,1995-03-24,1999-03-23
116,Gustafsson Jukka,Social Democrats,Pirkanmaan,Eduskunta,1995-03-24,1999-03-23
538,Haatainen Tuula,Social Democrats,Helsingin,Eduskunta,1996-11-19,1999-03-23
122,Halonen Tarja,Social Democrats,Helsingin,Eduskunta,1995-03-24,1999-03-23
363,Hassi Satu,Green Party,Pirkanmaan,Eduskunta,1995-03-24,1999-03-23
420,Heinonen Olli-Pekka,National Coalition Party,Satakunnan,Eduskunta,1995-03-24,1999-03-23
452,Hellberg Klaus,Social Democrats,Uudenmaan,Eduskunta,1995-03-24,1999-03-23
125,Helle Esko,Left Alliance,Hämeen,Eduskunta,1995-03-24,1999-03-23
453,Huotari Anne,Left Alliance,Oulun,Eduskunta,1995-03-24,1999-03-23
136,Hurskainen Sinikka,Social Democrats,Kymen,Eduskunta,1995-03-24,1999-03-23
137,Huuhtanen Jorma,Finnish Centre Party,Kuopion,Eduskunta,1995-03-24,1999-03-23
553,Huutola Matti,Left Alliance,Lapin,Eduskunta,1998-06-01,1999-03-23
455,Hyssälä Liisa,Finnish Centre Party,Varsinais-Suomen,Eduskunta,1995-03-24,1999-03-23
430,Ihamäki Timo,National Coalition Party,Mikkelin,Eduskunta,1995-03-24,1999-03-23
456,Immonen Mikko,Left Alliance,Varsinais-Suomen,Eduskunta,1995-03-24,1999-03-23
145,Isohookana-Asunmaa Tytti,Finnish Centre Party,Oulun,Eduskunta,1995-03-24,1999-03-23
457,Itälä Ville,National Coalition Party,Varsinais-Suomen,Eduskunta,1995-03-24,1999-03-23
147,Jaakonsaari Liisa,Social Democrats,Oulun,Eduskunta,1995-03-24,1999-03-23
148,Jansson Gunnar,Swedish Parliamentary Group,Ahvenanmaan maakunnan,Eduskunta,1995-03-24,1999-03-23
157,Juhantalo Kauko,Finnish Centre Party,Satakunnan,Eduskunta,1995-03-24,1999-03-23
458,Juurola Ulla,Social Democrats,Hämeen,Eduskunta,1995-03-24,1999-03-23
405,Jääskeläinen Jouko,Christian Democrats,Uudenmaan,Eduskunta,1995-03-24,1999-03-23
189,Jäätteenmäki Anneli,Finnish Centre Party,Helsingin,Eduskunta,1995-03-24,1999-03-23
402,Kalli Timo,Finnish Centre Party,Satakunnan,Eduskunta,1995-03-24,1999-03-23
459,Kallio Reijo,Social Democrats,Satakunnan,Eduskunta,1995-03-24,1999-03-23
166,Kalliomäki Antti,Social Democrats,Uudenmaan,Eduskunta,1995-03-24,1999-03-23
417,Kallis Bjarne,Christian Democrats,Vaasan,Eduskunta,1995-03-24,1999-03-23
170,Kanerva Ilkka,National Coalition Party,Varsinais-Suomen,Eduskunta,1995-03-24,1999-03-23
539,Kanerva Seppo,National Coalition Party,Helsingin,Eduskunta,1996-11-19,1999-03-23
175,Kankaanniemi Toimi,Christian Democrats,Keski-Suomen,Eduskunta,1995-03-24,1999-03-23
460,Kantalainen Kari,National Coalition Party,Pirkanmaan,Eduskunta,1995-03-24,1999-03-23
461,Karjalainen Tapio,Social Democrats,Oulun,Eduskunta,1995-03-24,1999-03-23
462,Karjula Kyösti,Finnish Centre Party,Oulun,Eduskunta,1995-03-24,1999-03-23
463,Karpio Juha,National Coalition Party,Keski-Suomen,Eduskunta,1995-03-24,1999-03-23
307,Kautto Tarja,Social Democrats,Uudenmaan,Eduskunta,1995-03-24,1999-03-23
179,Kekkonen Antero,Social Democrats,Kymen,Eduskunta,1995-03-24,1999-03-23
464,Kiljunen Kimmo,Social Democrats,Uudenmaan,Eduskunta,1995-03-24,1999-03-23
465,Kiviniemi Mari,Finnish Centre Party,Helsingin,Eduskunta,1995-03-24,1999-03-23
467,Kokkonen Paula,National Coalition Party,Helsingin,Eduskunta,1995-03-24,1999-03-23
386,Korhonen Martti,Left Alliance,Oulun,Eduskunta,1995-03-24,1999-03-23
468,Korhonen Riitta,National Coalition Party,Kuopion,Eduskunta,1995-03-24,1999-03-23
403,Korkeaoja Juha,Finnish Centre Party,Satakunnan,Eduskunta,1995-03-24,1999-03-23
442,Korteniemi Ossi,Finnish Centre Party,Lapin,Eduskunta,1995-03-24,1999-03-23
387,Koski Markku,Finnish Centre Party,Oulun,Eduskunta,1995-03-24,1999-03-23
469,Koski Valto,Social Democrats,Kymen,Eduskunta,1995-03-24,1999-03-23
532,Koskinen Jari,National Coalition Party,Hämeen,Eduskunta,1996-03-01,1999-03-23
358,Koskinen Johannes,Social Democrats,Hämeen,Eduskunta,1995-03-24,1999-03-23
471,Koskinen Marjaana,Social Democrats,Varsinais-Suomen,Eduskunta,1995-03-24,1999-03-23
472,Krohn Irina,Green Party,Helsingin,Eduskunta,1995-03-24,1999-03-23
473,Kuisma Risto,Social Democrats,Uudenmaan,Eduskunta,1995-03-24,1997-04-21
473,Kuisma Risto,Young Finnish Party,Uudenmaan,Eduskunta,1997-04-22,1998-03-09
473,Kuisma Risto,Reform Group,Uudenmaan,Eduskunta,1998-03-10,1999-03-23
444,Kuoppa Mikko,Left Alliance,Pirkanmaan,Eduskunta,1995-03-24,1995-08-24
444,Kuoppa Mikko,Left Alliance,Pirkanmaan,Eduskunta,1995-08-25,1999-03-23
476,Kuosmanen Pekka,National Coalition Party,Kymen,Eduskunta,1995-03-24,1999-03-23
202,Kääriäinen Seppo,Finnish Centre Party,Pohjois-Savon,Eduskunta,1995-03-24,1999-03-23
407,Laakso Jaakko,Left Alliance,Uudenmaan,Eduskunta,1995-03-24,1999-03-23
478,Lahtela Esa,Social Democrats,Pohjois-Karjalan,Eduskunta,1995-03-24,1999-03-23
