id,name,group,area,chamber,start_date,end_date
103,Ahde Matti,Social Democrats,Oulun,Eduskunta,1972-01-22,1975-09-26
259,Salolainen Pertti,National Coalition Party,Helsingin,Eduskunta,1972-01-22,1975-09-26
311,Söderman Jacob,Social Democrats,Helsingin,Eduskunta,1972-04-04,1975-09-26
620,Taipale Ilkka,Social Democrats,Helsingin,Eduskunta,1972-01-22,1975-09-26
357,Tuomioja Erkki,Social Democrats,Helsingin,Eduskunta,1972-01-22,1975-09-26
300,Väyrynen Paavo,Finnish Centre Party,Lapin,Eduskunta,1972-01-22,1975-09-26
