id,name,group,area,chamber,start_date,end_date
1374,ABDIROV Nurlan Mazhitovich,Nur Otan,,Mazhilis,2012-01-15,""
1582,ABILDAYEV Azamat Rahatovich,Ak Zhol,,Mazhilis,2012-01-15,""
1191,AHMADIYEV Murat Abdureimuly,Independent,,Mazhilis,2012-01-15,""
1591,AHMETBEKOV Zhambyl Auzhanovich,Communist People's Party,,Mazhilis,2012-01-15,""
1248,AIMBETOV Seitsultan Suleymenovich,Nur Otan,,Mazhilis,2012-01-15,""
1194,AISINA Mayra Arapovna,Nur Otan,,Mazhilis,2012-01-15,""
1415,ARONOVA Irina Petrovna,Nur Otan,,Mazhilis,2012-01-15,""
1417,ASANGAZY Orazkul Asangazyқyzy,Nur Otan,,Mazhilis,2012-01-15,""
60,ASANOV Turarbek Mazhilovich,Nur Otan,,Mazhilis,2012-01-15,""
1420,ASHIM Nurgali Saduakasuly,Nur Otan,,Mazhilis,2012-01-15,""
1423,ASHIMBAYEV Maulen Sagathanuly,Nur Otan,,Mazhilis,2012-01-15,""
1368,BALIEVA ZagipaYahyanovna,Nur Otan,,Mazhilis,2012-01-15,""
1435,BAYMAKHANOVA Galina Alexandrovna,Communist People's Party,,Mazhilis,2012-01-15,""
1426,BAZARBAYEV Askar Ermurzaevich,Nur Otan,,Mazhilis,2012-01-15,""
1429,BEGENEEV Andrey Anatolievich,Nur Otan,,Mazhilis,2012-01-15,""
1432,BEGENTAEV Meyram Muhametrahimovich,Nur Otan,,Mazhilis,2012-01-15,""
1281,BEKENOV Ashat Sakibedenovich,Nur Otan,,Mazhilis,2012-01-15,""
1438,BEKTURGANOV Ersultan Utegulovich,Nur Otan,,Mazhilis,2012-01-15,""
127,BERDONGAROV Tanirbergen Maratovich,Nur Otan,,Mazhilis,2012-01-15,""
1663,BIMENDINA Asima Temkenovna,Nur Otan,,Mazhilis,2012-01-15,""
1441,BISHIMBAYEV Valihan Kozykeyevich,Nur Otan,,Mazhilis,2012-01-15,""
1155,BURKHANOV Kamal Nizamovich,Nur Otan,,Mazhilis,2012-01-15,""
