id,name,group,area,chamber,start_date,end_date
eec40f56-be14-4fb8-9825-aaceed67d6cc,Abdulaziz Yazar,Republican People's Party,Hatay,Grand National Assembly,2007-07-23,2011-06-28
d6d9ce67-5df8-4376-879e-6c9c5f2af135,Abdulhadi Akaydın,Justice and Development Party,Diyarbakır,Grand National Assembly,2007-07-23,2011-06-28
3893488f-9011-4280-ba12-3db016b7ad95,Abdulkadir Akgül,Justice and Development Party,Yozgat,Grand National Assembly,2007-07-23,2011-06-28
b42fe7da-40d3-48f2-a66b-efed128908c1,Abdulkadir Emin Önen,Justice and Development Party,Şanlıurfa,Grand National Assembly,2007-07-23,2011-06-28
52f1da3d-6918-47cb-8014-e0ffa15797d8,Abdullah Gül,Justice and Development Party,Kayseri,Grand National Assembly,2007-07-23,2011-06-28
bf195d3b-55b8-4a24-a6ed-8090081805e4,Abdullah Veli Seyda,Justice and Development Party,Şırnak,Grand National Assembly,2007-07-23,2011-06-28
aeb5f392-8b2e-47dc-81ea-b1e8b4e14511,Abdullah Çalışkan,Justice and Development Party,Kırşehir,Grand National Assembly,2007-07-23,2011-06-28
c7638405-7179-4d45-a7f9-34f1603ffdd3,Abdullah Çetinkaya,Justice and Development Party,Konya,Grand National Assembly,2007-07-23,2011-06-28
49a7f294-1e06-4fe9-bac0-d450a34f02ed,Abdullah Özer,Republican People's Party,Bursa,Grand National Assembly,2007-07-23,2011-06-28
25e29f11-c3e0-409a-84e3-e1326f3a9a23,Abdurrahman Arıcı,Justice and Development Party,Antalya,Grand National Assembly,2007-07-23,2011-06-28
eb15cf74-2755-4f8c-bd7e-f1fa84996366,Abdurrahman Dodurgalı,Justice and Development Party,Sinop,Grand National Assembly,2007-07-23,2011-06-28
c04ee0ae-1b68-4a0a-b1b4-b02ad24882a1,Abdurrahman Kurt,Justice and Development Party,Diyarbakır,Grand National Assembly,2007-07-23,2011-06-28
aab9fa35-a6ea-404e-89a3-bf8bb34d6dbf,Abdurrahman Müfit Yetkin,Justice and Development Party,Şanlıurfa,Grand National Assembly,2007-07-23,2011-06-28
7c49d499-4392-4c9d-bcc6-5c59f99d65a8,Abdurrezzak Erten,Republican People's Party,İzmir,Grand National Assembly,2007-07-23,2011-06-28
d08c7568-a5a2-4b1b-afbf-360f87f93045,Abdülhadi Kahya,Justice and Development Party,Hatay,Grand National Assembly,2007-07-23,2011-06-28
1bad587e-05ce-4c3f-b9d8-3ec9abd363ca,Abdülkadir Akcan,Nationalist Movement Party,Afyonkarahisar,Grand National Assembly,2007-07-23,2011-06-28
b8865341-fc6b-4ccd-822b-47f5cfa366c1,Abdülkadir Aksu,Justice and Development Party,İstanbul,Grand National Assembly,2007-07-23,2011-06-28
9fb73c6d-e8a8-4140-b67f-1231bd9b9038,Abdülkerim Aydemir,Justice and Development Party,Ağrı,Grand National Assembly,2007-07-23,2011-06-28
26c86327-bce5-4c70-81cd-d9533421d6e7,Abdülmuttalip Özbek,Justice and Development Party,Hakkari,Grand National Assembly,2007-07-23,2011-06-28
e24c29dc-33f1-490a-933b-1676224770d7,Afif Demirkıran,Justice and Development Party,Siirt,Grand National Assembly,2007-07-23,2011-06-28
ea99ffa6-62c4-4a6a-a435-023deb18ae43,Agah Kafkas,Justice and Development Party,Çorum,Grand National Assembly,2007-07-23,2011-06-28
e251fc56-dc44-4f3b-a8b6-7df2c640f856,Ahmet Aydoğmuş,Justice and Development Party,Çorum,Grand National Assembly,2007-07-23,2011-06-28
d85b0aae-dd3f-4acd-8f93-71e3805f1d91,Ahmet Aydın,Justice and Development Party,Adıyaman,Grand National Assembly,2007-07-23,2011-06-28
201d1e7c-f139-4d52-bed7-76a651da5287,Ahmet Bukan,Nationalist Movement Party,Çankırı,Grand National Assembly,2007-07-23,2011-06-28
a407b251-4d20-48af-88ce-2413dd86ddc9,Ahmet Büyükakkaşlar,Justice and Development Party,Konya,Grand National Assembly,2007-07-23,2011-06-28
1d516f0f-c46b-4b3c-97a1-d5799cf5a45e,Ahmet Deniz Bölükbaşı,Nationalist Movement Party,Ankara,Grand National Assembly,2007-07-23,2011-06-28
d09d3b3b-812d-4dc3-a7b8-f196ec13716d,Ahmet Duran Bulut,Nationalist Movement Party,Balıkesir,Grand National Assembly,2007-07-23,2011-06-28
f5a3f34b-f341-45ff-a617-86bc95a43a3e,Ahmet Edip Uğur,Justice and Development Party,Balıkesir,Grand National Assembly,2007-07-23,2011-06-28
5ffb0083-d5b1-4a11-994f-c3ff47b05904,Ahmet Erdal Feralan,Justice and Development Party,Nevşehir,Grand National Assembly,2007-07-23,2011-06-28
11e284fc-5652-43d2-96e2-cac80d23864d,Ahmet Ersin,Republican People's Party,İzmir,Grand National Assembly,2007-07-23,2011-06-28
d9a45409-a131-473e-b1fb-0b4e44f8eaa9,Ahmet Ertürk,Justice and Development Party,Aydın,Grand National Assembly,2007-07-23,2011-06-28
6e8eb669-b748-4087-9899-1b88fc300da3,Ahmet Gökhan Sarıçam,Justice and Development Party,Kırklareli,Grand National Assembly,2007-07-23,2011-06-28
36a8bf8b-ab52-41c4-8b4f-596c1a40e67d,Ahmet Kenan Tanrıkulu,Nationalist Movement Party,İzmir,Grand National Assembly,2007-07-23,2011-06-28
35d137d9-d325-4e21-a1a4-dff5c5e4663a,Ahmet Koca,Justice and Development Party,Afyonkarahisar,Grand National Assembly,2007-07-23,2011-06-28
37b63d51-0cdc-4a23-8442-fefb4245ae2e,Ahmet Küçük,Republican People's Party,Çanakkale,Grand National Assembly,2007-07-23,2011-06-28
2d794ea9-b915-49bb-8601-591670595301,Ahmet Mesut Yılmaz,Independent,Rize,Grand National Assembly,2007-07-23,2011-06-28
