id,name,group,area,start_date,end_date
d18c695c-1c7f-479d-9091-5f04324ba8be,Adolf Berndsen,Independence Party,Northwest,2003,2003
4b8ce352-27fd-4bed-919e-a08f7be80f76,Finnur Ingólfsson,Progressive Party,Reykjavik,1999,2000
b3776674-18f7-4b81-a07e-a8df07f0bf73,Guðjón Guðmundsson,Independence Party,West,1999,2003
95b89778-7b17-4d9e-a3af-9abfd2fac6a4,Gísli Einarsson,Social Democratic Alliance,West,1999,2003
619ac85e-c9be-47c6-945a-43d3d0a1c20e,Hjálmar Jónsson,Independence Party,Northwest,1999,2001
b33e1ee2-9798-4484-8c92-098034106642,Ingibjörg Pálmadóttir,Progressive Party,West,1999,2001
b028995a-2a0e-4f24-b57a-e19b8b990e46,Katrín Fjeldsted,Independence Party,Reykjavik,1999,2003
a46165c1-2879-4967-ad3c-8e8ba7bf899e,Kristján Pálsson,Independence Party,Reykjanes,1999,2003
ae201a44-8fcf-44c7-96fa-3a7daf5769cb,Lára Ragnarsdóttir,Independence Party,Reykjavik,1999,2003
a243d180-bd17-4b65-9e17-62758752da1f,Páll Pétursson,Progressive Party,Northwest,1999,2003
3efd9292-649f-4b14-8366-37643efecad3,Sighvatur Björgvinsson,Social Democratic Alliance,West Fjords,1999,2001
0c770919-6e93-4d18-a690-1a411cd1c2f7,Sigríður Ingvarsdóttir,Independence Party,Northwest,2001,2003
f42a95ee-ca2b-4249-b73a-12e7cde267f8,Sigríður Jóhannesdóttir,Social Democratic Alliance,Reykjanes,1999,2003
aeb636e1-6ba5-44d6-a886-a9d74b3f7812,Svanfríður Jónasdóttir,Social Democratic Alliance,Northeast,1999,2003
9310ee40-efe8-46e0-841f-6b8c85c9b0ac,Sverrir Hermannsson,Liberal Party,Reykjavik,1999,2003
c7463dd1-9d94-4e3b-ae45-fe73a865767c,Vilhjálmur Egilsson,Independence Party,Northwest,1999,2003
f7f98554-0cf5-4c0f-98f5-efd35b46f044,Árni Jóhannsson,Left-Green Movement,Northeast,1999,2003
d24134f9-f694-4db6-a70a-fca6c7e1a3dd,Ísólfur Pálmason,Progressive Party,South,1999,2003
89c2a3cc-e15d-4b34-824d-4c50e8c0a5c3,Ólafur Haraldsson,Progressive Party,Reykjavik,1999,2003
