id,name,email,twitter,group,area,chamber,start_date,end_date
2168,A B M Anwarul Hoque,,,Bangladesh Awami League,Manikganj,Jatiyo Sangshad,2009-01-25,2014-01-24
2145,A K M Fazlul Haque,,,Bangladesh Awami League,Sherpur,Jatiyo Sangshad,2009-01-25,2014-01-24
2291,A N M Shamsul Islam,,,Bangladesh Jamaat-e-Islami,Chittagong,Jatiyo Sangshad,2009-01-25,2014-01-24
2280,A.B.M. Abul Qasem,,,Bangladesh Awami League,Chittagong,Jatiyo Sangshad,2009-01-25,2014-01-24
2282,A.B.M. Fazle Karim Chowdhury,,,Bangladesh Awami League,Chittagong,Jatiyo Sangshad,2009-01-25,2014-01-24
2252,A.B.M. Ghulam Mostafa,,,Bangladesh Awami League,Comilla,Jatiyo Sangshad,2009-01-25,2014-01-24
2258,A.H.M Mustafa Kamal,,,Bangladesh Awami League,Comilla,Jatiyo Sangshad,2009-01-25,2014-01-24
2295,A.H.M. Hamidur Rahman Azad,,,Bangladesh Jamaat-e-Islami,Cox's Bazar,Jatiyo Sangshad,2009-01-25,2014-01-24
2254,A.K.M. Bahauddin,,,Bangladesh Awami League,Comilla,Jatiyo Sangshad,2009-01-25,2014-01-24
2037,A.K.M. Hafizur Rahman,,,Bangladesh Nationalist Party,Bogra,Jatiyo Sangshad,2009-01-25,2014-01-24
2027,A.K.M. Mayeedul Islam,,,Jatiya Party,Kurigram,Jatiyo Sangshad,2009-01-25,2014-01-24
2025,A.K.M. Mostafizur Rahman,,,Jatiya Party,Kurigram,Jatiyo Sangshad,2009-01-25,2014-01-24
2194,A.K.M. Mozammel Huq,,,Bangladesh Awami League,Gazipur,Jatiyo Sangshad,2009-01-25,2014-01-24
2183,A.K.M. Rahmatullah,,,Bangladesh Awami League,Dhaka,Jatiyo Sangshad,2009-01-25,2014-01-24
2127,A.K.M.A. Awal,,,Bangladesh Awami League,Pirojpur,Jatiyo Sangshad,2009-01-25,2014-01-24
2350,A.N.Mahfuza Khatun Baby Maudud,,,Bangladesh Awami League,Seat,Jatiyo Sangshad,2009-01-25,2014-01-24
2112,A.S.M. Feroz,,,Bangladesh Awami League,Patuakhali,Jatiyo Sangshad,2009-01-25,2014-01-24
2277,ABM Ashraf Uddin Nizan,,,Bangladesh Nationalist Party,Laxmipur,Jatiyo Sangshad,2009-01-25,2014-01-24
2124,ABM Ruhul Amin Howlader,,,Jatiya Party,Barisal,Jatiyo Sangshad,2009-01-25,2014-01-24
2069,"Abdul Karim Khandakar, Bir Uttam",,,Bangladesh Awami League,Pabna,Jatiyo Sangshad,2009-01-25,2014-01-24
2133,Abdul Latif Siddique,,,Bangladesh Awami League,Tangail,Jatiyo Sangshad,2009-01-25,2014-01-24
2084,Abdul Mannan,,,Bangladesh Awami League,Jhenaidah,Jatiyo Sangshad,2009-01-25,2014-01-24
2174,Abdul Mannan Khan,,,Bangladesh Awami League,Dhaka,Jatiyo Sangshad,2009-01-25,2014-01-24
2253,Abdul Matin Khasru,,,Bangladesh Awami League,Comilla,Jatiyo Sangshad,2009-01-25,2014-01-24
2038,Abdul Momin Talukder,,,Bangladesh Nationalist Party,Bogra,Jatiyo Sangshad,2009-01-25,2014-01-24
