id,name,email,twitter,group,area,chamber,start_date,end_date
2145,A K M Fazlul Haque,,,Bangladesh Awami League,Sherpur,Jatiyo Sangshad,2014-01-29,""
10208,A K M Salim Osman,,,Jatiya Party,Narayanganj,Jatiyo Sangshad,2014-01-29,""
10283,A.B.M. Fazle Karim Chowdhury,,,Bangladesh Awami League,Chittagong,Jatiyo Sangshad,2014-01-29,""
10111,A.B.M. Ruhul Amin Howlader,,,Jatiya Party,Patuakhali,Jatiyo Sangshad,2014-01-29,""
10220,A.F.M. Bahauddin (Nasim),,,Bangladesh Awami League,Madaripur,Jatiyo Sangshad,2014-01-29,""
2258,A.H.M Mustafa Kamal,,,Bangladesh Awami League,Comilla,Jatiyo Sangshad,2014-01-29,""
10276,A.K.M Shahgahan Kamal,,,Bangladesh Awami League,Laxmipur,Jatiyo Sangshad,2014-01-29,""
10113,A.K.M Zahangir Hossain,,,Bangladesh Awami League,Patuakhali,Jatiyo Sangshad,2014-01-29,""
2254,A.K.M. Bahauddin,,,Bangladesh Awami League,Comilla,Jatiyo Sangshad,2014-01-29,""
2027,A.K.M. Mayeedul Islam,,,Jatiya Party,Kurigram,Jatiyo Sangshad,2014-01-29,""
2025,A.K.M. Mostafizur Rahman,,,Jatiya Party,Kurigram,Jatiyo Sangshad,2014-01-29,""
2194,A.K.M. Mozammel Huq,,,Bangladesh Awami League,Gazipur,Jatiyo Sangshad,2014-01-29,""
2183,A.K.M. Rahmatullah,,,Bangladesh Awami League,Dhaka,Jatiyo Sangshad,2014-01-29,""
1039,A.K.M. Rezaul Karim Tansen,,,Jatiya Samajtantrik Dal,Bogra,Jatiyo Sangshad,2014-01-29,""
2127,A.K.M.A. Awal,,,Bangladesh Awami League,Pirojpur,Jatiyo Sangshad,2014-01-29,""
10168,A.M Naimur Rahman,,,Bangladesh Awami League,Manikganj,Jatiyo Sangshad,2014-01-29,""
2112,A.S.M. Feroz,,,Bangladesh Awami League,Patuakhali,Jatiyo Sangshad,2014-01-29,""
10304,ADV. UMME KULSUM SMRITY,,,Bangladesh Awami League,Seat,Jatiyo Sangshad,2014-01-29,""
10327,ADVOCATE NAVANA AKTER,,,Bangladesh Awami League,Seat,Jatiyo Sangshad,2014-01-29,""
10328,AMATUL KIBRIA KEYA,,,Bangladesh Awami League,Seat,Jatiyo Sangshad,2014-01-29,""
10334,AMINA AHMED,,,Bangladesh Awami League,Seat,Jatiyo Sangshad,2014-01-29,""
2133,Abdul Latif Siddique,,,Bangladesh Awami League,Tangail,Jatiyo Sangshad,2014-01-29,""
1066,Abdul Majid Mondol,,,Bangladesh Awami League,Sirajganj,Jatiyo Sangshad,2014-01-29,""
1036,Abdul Mannan,,,Bangladesh Awami League,Bogra,Jatiyo Sangshad,2014-01-29,""
2253,Abdul Matin Khasru,,,Bangladesh Awami League,Comilla,Jatiyo Sangshad,2014-01-29,""
2118,Abdullah Al Islam Jakob,,,Bangladesh Awami League,Bhola,Jatiyo Sangshad,2014-01-29,""
2297,Abdur Rahman Badi,,,Bangladesh Awami League,Cox's Bazar,Jatiyo Sangshad,2014-01-29,""
1078,Abdur Rouf,,,Bangladesh Awami League,Kushtia,Jatiyo Sangshad,2014-01-29,""
10292,Abu Reza Muhammad Nezamuddin,,,Bangladesh Awami League,Chittagong,Jatiyo Sangshad,2014-01-29,""
1018,Abu Saleh Mohammad Sayeed,,,Bangladesh Awami League,Lalmonirhat,Jatiyo Sangshad,2014-01-29,""
1035,Abu Sayeed Al Mahmood Swapon,,,Bangladesh Awami League,Jaipurhat,Jatiyo Sangshad,2014-01-29,""
10119,Abul Hasnat Abdullah,,,Bangladesh Awami League,Barisal,Jatiyo Sangshad,2014-01-29,""
2009,Abul Hassan Mahmood Ali,,,Bangladesh Awami League,Dinajpur,Jatiyo Sangshad,2014-01-29,""
2138,Abul Kalam Azad,,,Bangladesh Awami League,Jamalpur,Jatiyo Sangshad,2014-01-29,""
1020,Abul Kalam Md. Ahasanul Hoque Chowdhury,,,Bangladesh Awami League,Rangpur,Jatiyo Sangshad,2014-01-29,""
2229,Abul Maal Abdul Muhith,,,Bangladesh Awami League,Sylhet,Jatiyo Sangshad,2014-01-29,""
2241,Advocate Md. Abu Zahir,,,Bangladesh Awami League,Habiganj,Jatiyo Sangshad,2014-01-29,""
2244,Advocate Md. Ziaul Haque Mridha,,,Jatiya Party,Brahmanbaria,Jatiyo Sangshad,2014-01-29,""
2096,Advocate Mir Showkat Ali Badsha,,,Bangladesh Awami League,Bagerhat,Jatiyo Sangshad,2014-01-29,""
2175,Advocate Qamrul Islam,,,Bangladesh Awami League,Dhaka,Jatiyo Sangshad,2014-01-29,""
2191,Advocate Sahara Khatun,,,Bangladesh Awami League,Dhaka,Jatiyo Sangshad,2014-01-29,""
2098,Alhaj Dr. Mozammel Hossain,,,Bangladesh Awami League,Bagerhat,Jatiyo Sangshad,2014-01-29,""
2190,Alhaj Hussain Muhammad Ershad,,,Jatiya Party,Rangpur,Jatiyo Sangshad,2014-01-29,""
2004,Alhaj Md. Dabirul Islam,,,Bangladesh Awami League,Thakurgaon,Jatiyo Sangshad,2014-01-29,""
