id,name,group,area,start_date,end_date
LOR-001, ابراهیم آقامحمدی,جبهه متحد ,Lorestan,2012-05-27,""
R-KH-011, احمد سجادی,مستقل ,Razavi Khorasan,2012-05-27,""
MAZ-007, احمد علی مقیمی, جبهه متحد – جبهه ایستادگی,Mazandaran,2012-05-27,""
TEH-038, اسفندیار اختیاری کسنویه,مستقل,,2012-05-27,""
LOR-008, الهیار ملکشاهی,اصلاح طلب,Lorestan,2012-05-27,""
FAR-013, الیاس طاهری, جبهه متحد – جبهه ایستادگی ,Fars,2012-05-27,""
KHU-013, جواد سعدون زاده,جبهه متحد,Khuzestan,2012-05-27,""
KER-002, حسین امیری خامکانی,اصلاح طلب,Kerman,2012-05-27,""
KHU-010, حسین دهدشتی,مستقل,Khuzestan,2012-05-27,""
FAR-002, داریوش اسماعیلی, مستقل  ,Fars,2012-05-27,""
TEH-010, روح الله حسینیان,جبهه متحد – جبهه پایداری  ,Tehran,2012-05-27,""
TEH-017, زهره طبیب‌زاده ‌نوری,جبهه متحد – جبهه پایداری  ,Tehran,2012-05-27,""
R-KH-013, سید امیرحسین قاضی زاده هاشمی,جبهه متحد - جبهه پایداری,Razavi Khorasan,2012-05-27,""
ISF-018, سید محمدحسین میرمحمدی,جبهه ایستادگی,Isfahan,2012-05-27,""
FAR-007, سیدحسین ذوالانوار,جبهه متحد- جبهه پایداری,Fars,2012-05-27,""
KHU-008, سیدعیسی دارایی,مستقل,Khuzestan,2012-05-27,""
KHU-005, عبدالله تمیمی,مستقل,Khuzestan,2012-05-27,""
MAZ-006, عبدالوحید فیاضی,جبهه متحد,Mazandaran,2012-05-27,""
HAM-003, علي‌نعمت چهاردولي,مستقل,Hamedan,2012-05-27,""
TEH-020, علی رضا محجوب,جبهه متحد – صدای ملت – اصلاح طلب    ,Tehran,2012-05-27,""
ISF-007, عوض حیدرپور شهرضایی, جبهه متحد- جبهه ایستادگی - صدای ملت,Isfahan,2012-05-27,""
E-AZ-019, غلام رضا نوری قزلجه,مستقل,East Azerbaijan,2012-05-27,""
MAZ-003, محمد دامادی,جبهه متحد,Mazandaran,2012-05-27,""
SIS-001, محمد سعید اربابی,مستقل,Sistan and Baluchestan,2012-05-27,""
KHU-015, محمدباقر شریعتی  ,مستقل,Khuzestan,2012-05-27,""
FAR-008, محمدرضا رضایی کوچی,جبهه متحد- جبهه پایداری,Fars,2012-05-27,""
FAR-003, محمدمهدی برومندی,اصلاح طلب,Fars,2012-05-27,""
KHU-016, ناصر صالحی     , جبهه ایستادگی ,Khuzestan,2012-05-27,""
SIS-008, ناصر کاشانی,مستقل,Sistan and Baluchestan,2012-05-27,""
TEH-031,ابراهیم نکو,مستقل,Tehran,2012-05-27,""
HAM-008,ابراهیم کارخانه,جبهه متحد – جبهه پایداری ,Hamedan,2012-05-27,""
ISF-001,ابوالفضل ابوترابی,مستقل,Isfahan,2012-05-27,""
HOR-005,ابوالقاسم جراره,جبهه پایداری ,Hormozgan,2012-05-27,""
R-KH-006,ابوالقاسم خسروی سهل آبادی,جبهه پایداری ,Razavi Khorasan,2012-05-27,""
HAM-001,احمد آریایی نژاد,جبهه پایداری,Hamedan,2012-05-27,""
QOM-003,احمد امیرآبادی فراهانی,جبهه پایداری ,Qom,2012-05-27,""
ISF-005,احمد بخشایش اردستانی,مستقل,Isfahan,2012-05-27,""
TEH-008,احمد توکلی,جبهه متحد,Tehran,2012-05-27,""
HOR-003,احمد جباری,جبهه پایداری,Hormozgan,2012-05-27,""
ISF-008,احمد سالک کاشانی,جبهه پایداری - جبهه متحد,Isfahan,2012-05-27,""
LAM-002,احمد شوهانی,مستقل,Ilam,2012-05-27,""
E-AZ-013,ارسلان فتحی پور,مستقل,East Azerbaijan,2012-05-27,""
KHU-006,اسماعیل جلیلی,مستقل,Khuzestan,2012-05-27,""
TEH-033,اسماعیل کوثری,جبهه متحد – جبهه پایداری – جبهه ایستادگی,Tehran,2012-05-27,""
